$$$Density Data Set 5920	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	C4H10O	74.123	71-36-3	1-Butanol	
2	C3H8O	60.096	67-63-0	2-Propanol	
Temperature	298.150	K	
Density [g/cm3]	x1 [mol/mol]	
0.7834	0.00000	
0.7866	0.10260	
0.7895	0.20120	
0.7924	0.30200	
0.7953	0.40450	
0.7978	0.50860	
0.7999	0.60020	
0.8032	0.73400	
0.8046	0.79640	
0.8067	0.90210	
0.8089	1.00000	
Source	
Trew V.C.G.; Watkins G.M.C.: Some Physical Properties of Mixtures of Certain Organic Liquids. Trans.Faraday Soc. 29 (1933) 1310-1318	
Source	
Trew V.C.G.; Watkins G.M.C.: Some Physical Properties of Mixtures of Certain Organic Liquids. Trans.Faraday Soc. 29 (1933) 1310-1318	
