$$$Density Data Set 37468	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	C4H10O	74.123	71-36-3	1-Butanol	
2	CHCl3	119.377	67-66-3	Chloroform	
3	C6H6	78.114	71-43-2	Benzene	
Temperature	288.150	K	
Density [g/cm3]	x1 [mol/mol]	x2 [mol/mol]	
0.9314	0.09060	0.09990	
0.9892	0.07870	0.20100	
1.0467	0.06980	0.29960	
1.1081	0.05910	0.40230	
1.1662	0.05470	0.49800	
1.2288	0.04050	0.59720	
1.2828	0.02940	0.68160	
1.3511	0.02030	0.78510	
0.9244	0.17930	0.09990	
0.9798	0.17120	0.19770	
1.0409	0.14170	0.30010	
1.1013	0.11970	0.39950	
1.1638	0.10010	0.50040	
1.2267	0.07930	0.59940	
1.2933	0.05880	0.70180	
1.3573	0.04330	0.79830	
1.4289	0.01860	0.90200	
0.9107	0.36070	0.09930	
0.9701	0.31990	0.20030	
1.0338	0.27760	0.30610	
1.0915	0.23840	0.39910	
1.1559	0.19790	0.50100	
1.2188	0.15870	0.59800	
1.2861	0.12170	0.69930	
1.3538	0.08030	0.79800	
1.4224	0.04100	0.89570	
0.8995	0.53890	0.10100	
0.9569	0.48560	0.19740	
1.0198	0.42000	0.29950	
1.0834	0.36060	0.40060	
1.1458	0.30000	0.49710	
1.2117	0.23880	0.59670	
1.2807	0.18010	0.69870	
1.3512	0.12070	0.79970	
1.4203	0.06150	0.89570	
0.8884	0.71280	0.10200	
0.9486	0.64040	0.20100	
1.0102	0.55840	0.29920	
1.0749	0.47900	0.40040	
1.1400	0.39930	0.49950	
1.2070	0.32060	0.59920	
1.2765	0.23930	0.69970	
1.3478	0.16050	0.79980	
1.4189	0.08090	0.89630	
0.8811	0.81110	0.09990	
0.9429	0.71850	0.19990	
1.0057	0.62890	0.29910	
1.0704	0.54110	0.39980	
1.1371	0.44980	0.50040	
1.2056	0.35790	0.60150	
1.2737	0.26690	0.69850	
1.3457	0.17910	0.79910	
1.4981	0.00000	1.00000	
0.8134	1.00000	0.00000	
0.8842	0.00000	0.00000	
Source	
