$$$Density Data Set 49331
No.	Formula	Molar Mass	CAS Registry Number	Name
1	C8H10	106.167	108-38-3	Acetic acid butyl ester
2	C8H10	106.167	108-38-3	m-Xylene
Temperature	298.150	K
Pressure	1.0132	bar
Density [g/cm3]	x1 [mol/mol]
0.8599	0.00000
0.8608	0.04680
0.8626	0.15060
0.8644	0.24970
0.8661	0.35020
0.8677	0.44770
0.8685	0.49410
0.8694	0.54900
0.8710	0.65050
0.8726	0.75010
0.8741	0.85110
0.8754	0.94090
Source
Sastry N.V.; Thakor R.R.; Patel M.C.: Excess molar volumes, viscosity deviations, excess isentropic compressibilities and deviations in relative permittivities of (alkyl acetates (methyl, ethyl, butyl and isoamyl) + n-hexane, + benzene, + toluene, + (o-, m-, p-) xylenes, + (chloro-, bromo-, nitro-) benzene at temperatures from 298.15 to 313.15 K. J.Mol.Liq. 144 (2009) 13-22
Source
Sastry N.V.; Thakor R.R.; Patel M.C.: Excess molar volumes, viscosity deviations, excess isentropic compressibilities and deviations in relative permittivities of (alkyl acetates (methyl, ethyl, butyl and isoamyl) + n-hexane, + benzene, + toluene, + (o-, m-, p-) xylenes, + (chloro-, bromo-, nitro-) benzene at temperatures from 298.15 to 313.15 K. J.Mol.Liq. 144 (2009) 13-22
