$$$Density Data Set 54181	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	C2H4O2	60.053	64-19-7	Acetic acid	
2	C5H9NO	99.133	872-50-4	N-Methyl-2-pyrrolidone	
Temperature	298.150	K	
Density [g/cm3]	x1 [mol/mol]	
1.0285	0.01020	
1.0288	0.01950	
1.0292	0.02880	
1.0299	0.04750	
1.0308	0.06930	
1.0315	0.09060	
1.0333	0.13370	
1.0347	0.16680	
Source	
Novikov A.N.; Buev A.V.; Vasilev V.A.: Density of Solution and Partial Molar Volume of Non-Electrolytes in n-Methylpyrrolidinone at 298.15 K. Izv.Vyssh.Uchebn.Zaved.Khim.Khim.Tekhnol. 36 (1993) 119-122	
Source	
Novikov A.N.; Buev A.V.; Vasilev V.A.: Density of Solution and Partial Molar Volume of Non-Electrolytes in n-Methylpyrrolidinone at 298.15 K. Izv.Vyssh.Uchebn.Zaved.Khim.Khim.Tekhnol. 36 (1993) 119-122	
