$$$Density Data Set 30436	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	C3H6O	58.080	67-64-1	Acetone	
2	C6H12	84.161	592-41-6	1-Hexene	
Temperature	293.150	K	
Density [g/cm3]	x1 [mol/mol]	
0.6759	0.00000	
0.6838	0.13868	
0.6929	0.26592	
0.7028	0.38310	
0.7132	0.49136	
0.7241	0.59168	
0.7358	0.68490	
0.7477	0.77175	
0.7620	0.85286	
0.7760	0.92878	
Source	
Ogorodnikov S.K.; Kogan V.B.; Nemtsov M.S.: Liquid-Vapor Equilibrium in Binary Systems of Hydrocarbons with Acetone. III.. J.Appl.Chem.USSR 34 (1961) 313-319	
Source	
Ogorodnikov S.K.; Kogan V.B.; Nemtsov M.S.: Liquid-Vapor Equilibrium in Binary Systems of Hydrocarbons with Acetone. III.. J.Appl.Chem.USSR 34 (1961) 313-319	
