$$$Density Data Set 2855	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	C3H6O	58.080	67-64-1	Acetone	
2	C16H34	226.446	544-76-3	Hexadecane	
Temperature	298.150	K	
Density [g/cm3]	x1 [mol/mol]	
0.7726	0.00000	
0.7711	0.10000	
0.7701	0.20000	
0.7696	0.30000	
0.7693	0.40000	
0.7692	0.50000	
0.7693	0.60000	
0.7847	1.00000	
Source	
Messow U.; Doye U.; Kuntzsch S.; Kuchenbecker D.: V. Die Systeme Aceton/n-Decan, Aceton/n-Dodecan, Aceton/n-Tetradecan und Aceton/n-Hexadecan. Z.Phys.Chem.(Leipzig) 258 (1977) 90-96	
Source	
Messow U.; Doye U.; Kuntzsch S.; Kuchenbecker D.: V. Die Systeme Aceton/n-Decan, Aceton/n-Dodecan, Aceton/n-Tetradecan und Aceton/n-Hexadecan. Z.Phys.Chem.(Leipzig) 258 (1977) 90-96	
