$$$Density Data Set 16480
No.	Formula	Molar Mass	CAS Registry Number	Name
1	C2H3N	41.053	75-05-8	Acetonitrile
2	C2H3N	41.053	75-05-8	Acetic acid butyl ester
Temperature	298.150	K
Pressure	1.0132	bar
Density [g/cm3]	x1 [mol/mol]
0.8741	0.05350
0.8733	0.07590
0.8699	0.15430
0.8676	0.20350
0.8650	0.25590
0.8621	0.30770
0.8604	0.33730
0.8558	0.40950
0.8530	0.44950
0.8485	0.50840
0.8444	0.55630
0.8395	0.60880
0.8352	0.65110
0.8307	0.69050
0.8235	0.74820
0.8168	0.79590
0.8093	0.84350
0.7997	0.89670
0.7909	0.93970
Source
Acosta J.; Arce A.; Rodil E.; Soto A.: A Thermodynamic Study on Binary and Ternary Mixtures of Acetonitrile, Water and Butyl Acetate. Fluid Phase Equilib. 203 (2002) 83-98
Source
Acosta J.; Arce A.; Rodil E.; Soto A.: A Thermodynamic Study on Binary and Ternary Mixtures of Acetonitrile, Water and Butyl Acetate. Fluid Phase Equilib. 203 (2002) 83-98
