$$$Density Data Set 47408
No.	Formula	Molar Mass	CAS Registry Number	Name
1	C6H6	78.114	71-43-2	Benzene
2	CH4O	32.042	67-56-1	Methanol
3	C2H3N	41.053	75-05-8	Acetonitrile
Temperature	298.150	K
Density [g/cm3]	x1 [mol/mol]	x2 [mol/mol]
0.7861	0.03413	0.32813
0.7919	0.03877	0.63378
0.7945	0.04185	0.90460
0.7952	0.04601	0.85692
0.7897	0.04863	0.37037
0.7881	0.05427	0.20738
0.7976	0.06007	0.85265
0.7904	0.06862	0.20803
0.7971	0.07448	0.58697
0.7898	0.07496	0.11989
0.8000	0.08068	0.72609
0.8009	0.08282	0.78546
0.8020	0.08742	0.86803
0.7976	0.10477	0.31937
0.7941	0.10778	0.08511
0.8079	0.12800	0.80296
0.8031	0.13268	0.40191
0.8007	0.13437	0.25239
0.8004	0.13711	0.21490
0.7983	0.14147	0.06478
0.8071	0.14393	0.54264
0.8002	0.14463	0.14018
0.8028	0.14983	0.25260
0.7980	0.15118	0.07293
0.8003	0.15191	0.09617
0.8103	0.15241	0.67515
0.8079	0.15414	0.50313
0.8075	0.15799	0.45077
0.8022	0.16349	0.11428
0.8128	0.17112	0.66827
0.8113	0.17272	0.54940
0.8133	0.17836	0.62513
0.8147	0.17920	0.74203
0.8113	0.17997	0.48715
0.8084	0.18780	0.26835
0.8080	0.19736	0.17664
0.8065	0.20000	0.08084
0.8178	0.20202	0.75250
0.8075	0.20514	0.10302
0.8184	0.20652	0.74965
0.8136	0.21095	0.38323
0.8186	0.21497	0.65627
0.8106	0.21511	0.19557
0.8106	0.21547	0.19238
0.8198	0.22032	0.70234
0.8168	0.23130	0.40995
0.8204	0.23496	0.60205
0.8160	0.24032	0.30901
0.8118	0.24074	0.09344
0.8217	0.25537	0.51817
0.8201	0.25977	0.39502
0.8265	0.28579	0.58709
0.8241	0.29870	0.35675
0.8289	0.32053	0.48036
0.8257	0.32132	0.30159
0.8307	0.32713	0.55422
0.8319	0.33121	0.62893
0.8272	0.34393	0.24858
0.8316	0.35516	0.41929
0.8260	0.35729	0.11876
0.8275	0.36094	0.16741
0.8266	0.37099	0.07241
0.8357	0.37129	0.60710
0.8280	0.37363	0.13140
0.8355	0.37912	0.51073
0.8373	0.39167	0.55266
0.8293	0.39240	0.09307
0.8325	0.39993	0.21139
0.8352	0.40313	0.33398
0.8392	0.41294	0.53869
0.8371	0.41809	0.35361
0.8392	0.42592	0.43806
0.8385	0.43385	0.34878
0.8408	0.43551	0.49746
0.8355	0.44632	0.12589
0.8380	0.46518	0.16065
0.8412	0.46596	0.32078
0.8413	0.50992	0.11160
0.8468	0.51281	0.43513
0.8414	0.51647	0.08826
0.8440	0.54088	0.10618
0.8487	0.54638	0.35530
0.8464	0.55810	0.15297
0.8453	0.55898	0.08982
0.8460	0.56478	0.10242
0.8480	0.56559	0.20413
0.8473	0.56772	0.15626
0.8492	0.57227	0.24156
0.8540	0.61657	0.36018
0.8568	0.67048	0.25915
0.8571	0.67878	0.23572
0.8570	0.68246	0.20725
