$$$Density Data Set 51778	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	CHCl3	119.377	67-66-3	Chloroform	
2	CH4O	32.042	67-56-1	Methanol	
3	C6H12	84.161	110-82-7	Cyclohexane	
Temperature	303.150	K	
Density [g/cm3]	x1 [mol/mol]	x2 [mol/mol]	
0.8443	0.10000	0.50000	
0.9154	0.20000	0.40000	
0.9797	0.30000	0.30000	
1.0329	0.40000	0.20000	
1.0807	0.50000	0.10000	
Source	
Prakash S.; Prasad N.; Singh S.; Prakash O.: Molecular Interaction in Three Component Systems with Methanol as Common Component. Chemica Scripta 13 (1979) 127-129	
Source	
Prakash S.; Prasad N.; Singh S.; Prakash O.: Molecular Interaction in Three Component Systems with Methanol as Common Component. Chemica Scripta 13 (1979) 127-129	
