$$$Density Data Set 5048	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	C6H12	84.161	110-82-7	Cyclohexane	
2	C3H8O	60.096	67-63-0	2-Propanol	
Temperature	298.150	K	
Density [g/cm3]	x1 [mol/mol]	
0.7804	0.00000	
0.7765	0.17738	
0.7756	0.23881	
0.7744	0.33090	
0.7730	0.41456	
0.7732	0.49144	
0.7717	0.56203	
0.7711	0.73298	
0.7721	0.91057	
0.7736	1.00000	
Source	
Wei I.-C.; Rowley R.L.: Binary Liquid Mixture Viscosities and Densities. J.Chem.Eng.Data 29 (1984) 332-335	
Source	
Wei I.-C.; Rowley R.L.: Binary Liquid Mixture Viscosities and Densities. J.Chem.Eng.Data 29 (1984) 332-335	
