$$$Density Data Set 30497
No.	Formula	Molar Mass	CAS Registry Number	Name
1	C6H12	84.161	110-82-7	Cyclohexane
2	C6H12	84.161	110-82-7	Acetic acid butyl ester
Temperature	298.150	K
Density [g/cm3]	x1 [mol/mol]
0.8764	0.00000
0.8727	0.04090
0.8676	0.08760
0.8641	0.12220
0.8572	0.19050
0.8545	0.21570
0.8530	0.23040
0.8497	0.25810
0.8467	0.29000
0.8450	0.30540
0.8406	0.35330
0.8375	0.38180
0.8324	0.42760
0.8214	0.53450
0.8150	0.59510
0.8095	0.64640
0.8051	0.68880
0.8001	0.73640
0.7954	0.78420
0.7918	0.81790
0.7852	0.88620
0.7824	0.91410
0.7794	0.94430
0.7738	1.00000
Source
Nagata I.: Vapor-Liquid Equilibrium Data for Binary Systems, Acetone-Methyl Acetate, Methyl Acetate-Carbon Tetrachloride, Benzene- Butyl Acetate and Cyclohexane-Butyl Actate. Mem.Fac.Technol.Kanazawa Univ. 3 (1964) 197-205
Source
Nagata I.: Vapor-Liquid Equilibrium Data for Binary Systems, Acetone-Methyl Acetate, Methyl Acetate-Carbon Tetrachloride, Benzene- Butyl Acetate and Cyclohexane-Butyl Actate. Mem.Fac.Technol.Kanazawa Univ. 3 (1964) 197-205
