$$$Density Data Set 36977	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	C6H12	84.161	110-82-7	Cyclohexane	
2	C5H9NO	99.133	872-50-4	N-Methyl-2-pyrrolidone	
Temperature	298.150	K	
Density [g/cm3]	x1 [mol/mol]	
1.0284	0.00000	
0.9966	0.10930	
0.9707	0.20110	
0.9425	0.30290	
0.9185	0.39350	
0.8926	0.49410	
0.8656	0.60150	
0.8423	0.69750	
0.8170	0.80370	
0.7938	0.90470	
0.7737	1.00000	
Source	
Blanco B.; Beltran S.; Cabezas J.L.; Coca J.: 1. Isobaric Vapor-Liquid Equilibria. J.Chem.Eng.Data 42 (1997) 938-942	
Source	
Blanco B.; Beltran S.; Cabezas J.L.; Coca J.: 1. Isobaric Vapor-Liquid Equilibria. J.Chem.Eng.Data 42 (1997) 938-942	
