$$$Density Data Set 5044	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	C2H6O	46.069	64-17-5	Ethanol	
2	C3H8O	60.096	67-63-0	2-Propanol	
Temperature	298.150	K	
Density [g/cm3]	x1 [mol/mol]	
0.7804	0.00000	
0.7816	0.25333	
0.7824	0.39296	
0.7827	0.47577	
0.7831	0.55802	
0.7834	0.64848	
0.7838	0.73635	
0.7843	0.85239	
0.7847	0.91739	
0.7852	1.00000	
Source	
Wei I.-C.; Rowley R.L.: Binary Liquid Mixture Viscosities and Densities. J.Chem.Eng.Data 29 (1984) 332-335	
Source	
Wei I.-C.; Rowley R.L.: Binary Liquid Mixture Viscosities and Densities. J.Chem.Eng.Data 29 (1984) 332-335	
