$$$Density Data Set 56535
No.	Formula	Molar Mass	CAS Registry Number	Name
1	C10H8	128.174	91-20-3	Naphthalene
2	CHCl3	119.377	67-66-3	Chloroform
Temperature	298.150	K
Density [g/cm3]	x1 [mol/mol]
1.4684	0.015796
1.4679	0.01656
1.4644	0.02199
1.4607	0.02756
1.4540	0.03714
1.4544	0.03744
1.4397	0.06021
Source
Le Fèvre R.J.W.; Williams A.J.: Chloroform as a Solvent for the Determination of Molar Kerr Constants of Solutes. J.Chem.Soc.London  (1961) 1671-1676
Source
Le Fèvre R.J.W.; Williams A.J.: Chloroform as a Solvent for the Determination of Molar Kerr Constants of Solutes. J.Chem.Soc.London  (1961) 1671-1676
