$$$Density Data Set 64525
No.	Formula	Molar Mass	CAS Registry Number	Name
1	ClK	74.551	7447-40-7	Potassium chloride
2	C2H3N	41.053	75-05-8	Acetonitrile
Temperature	303.150	K
Density [g/cm3]	x1 [mol/mol]
0.7714	0.000115650000225
0.7715	0.000269885000307
0.7718	0.000545400020201
0.7721	0.000821
0.7727	0.001345
0.7733	0.0018806499429
0.7739	0.00240
0.7744	0.002942
Source
Nikam P.S.; Sawant A.B.: . Bull.Chem.Soc.Japan 71 (1998) 2055-2061
Source
Nikam P.S.; Sawant A.B.: . Bull.Chem.Soc.Japan 71 (1998) 2055-2061
