$$$Density Data Set 24593	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	C4H8O	72.107	109-99-9	Tetrahydrofuran	
2	C4H8O	72.107	109-99-9	Acetic acid butyl ester	
Temperature	303.150	K	
Density [g/cm3]	x1 [mol/mol]	
0.8708	0.00000	
0.8712	0.10330	
0.8716	0.19890	
0.8720	0.30410	
0.8725	0.39950	
0.8730	0.49670	
0.8736	0.60130	
0.8742	0.69790	
0.8750	0.79780	
0.8758	0.89990	
0.8767	1.00000	
Source	
Oswal S.L.; Gardas R.L.; Phalak R.P.: Densities, Speeds of Sound, Isentropic Compressibilities, Refractive Indexes, and Viscosities of Tetrahydrofuran with Haloalkane or Alkyl Ethanoate at T = 303.15 K. Thermochim.Acta 426 (2005) 199-206	
Source	
Oswal S.L.; Gardas R.L.; Phalak R.P.: Densities, Speeds of Sound, Isentropic Compressibilities, Refractive Indexes, and Viscosities of Tetrahydrofuran with Haloalkane or Alkyl Ethanoate at T = 303.15 K. Thermochim.Acta 426 (2005) 199-206	
