$$$Density Data Set 45090
No.	Formula	Molar Mass	CAS Registry Number	Name
1	C8H10	106.167	106-42-3	p-Xylene
2	C4H8O2	88.106	141-78-6	Ethyl acetate
Temperature	293.150	K
Density [g/cm3]	x1 [mol/mol]
0.9008	0.00000
0.8963	0.08100
0.8923	0.16550
0.8881	0.25370
0.8843	0.34590
0.8798	0.44240
0.8759	0.54340
0.8726	0.64930
0.8688	0.76040
0.8644	0.87710
0.8606	1.00000
Source
Narayan J.; Wanchoo R.K.; Raina G.K.; Wani G.A.: Viscosity and Surface Tension of p-Xylene - Ethylacetate Liquid Mixtures. Can.J.Chem.Eng. 66 (1988) 1021-1026
Source
Narayan J.; Wanchoo R.K.; Raina G.K.; Wani G.A.: Viscosity and Surface Tension of p-Xylene - Ethylacetate Liquid Mixtures. Can.J.Chem.Eng. 66 (1988) 1021-1026
