$$$Enthalpy of Mixing Data Set 5207	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	C3H8O	60.096	67-63-0	2-Propanol	
2	C2H3N	41.053	75-05-8	Acetonitrile	
3	C6H6	78.114	71-43-2	Benzene	
Temperature	298.150	K	
hE [J/mol]	x1 [mol/mol]	x2 [mol/mol]	
507.200	0.02080	0.24530	
801.000	0.05650	0.23640	
1108.300	0.11170	0.22260	
1397.500	0.19750	0.20110	
1563.100	0.29050	0.17780	
1618.200	0.36910	0.15810	
1618.800	0.42620	0.14380	
1597.500	0.47110	0.13250	
1556.200	0.51650	0.12110	
1528.400	0.53950	0.11540	
1497.100	0.56140	0.10990	
1411.800	0.61110	0.09740	
1334.100	0.64830	0.08810	
1243.600	0.68560	0.07880	
1163.300	0.71530	0.07130	
1097.100	0.73790	0.06570	
1026.800	0.76040	0.06000	
978.300	0.77510	0.05630	
611.500	0.01750	0.49180	
874.000	0.05100	0.47500	
1111.100	0.08810	0.45640	
1408.500	0.15200	0.42440	
1630.000	0.22430	0.38830	
1750.900	0.28660	0.35710	
1812.100	0.34080	0.33000	
1836.100	0.38480	0.30790	
1839.000	0.42880	0.28590	
1828.500	0.45940	0.27060	
1808.800	0.48970	0.25540	
1786.600	0.51280	0.24390	
1716.200	0.56770	0.21640	
1638.900	0.61100	0.19470	
1558.000	0.64810	0.17620	
1482.600	0.67790	0.16120	
1407.800	0.70440	0.14800	
1329.000	0.73000	0.13510	
1308.900	0.73580	0.13220	
1189.800	0.76980	0.11520	
1084.500	0.79720	0.10150	
1000.000	0.81770	0.09120	
932.300	0.83330	0.08350	
864.400	0.84860	0.07580	
566.900	0.01930	0.73600	
831.500	0.05350	0.71040	
1089.700	0.09260	0.68100	
1348.800	0.14190	0.64410	
1603.000	0.20540	0.59640	
1771.800	0.26560	0.55120	
1870.300	0.31590	0.51350	
1932.100	0.36450	0.47700	
1960.300	0.40390	0.44740	
1969.400	0.44320	0.41790	
1966.500	0.46490	0.40160	
1963.800	0.47340	0.39530	
1929.700	0.52560	0.35610	
1868.000	0.57590	0.31830	
1800.800	0.61440	0.28940	
1735.800	0.64500	0.26650	
1665.300	0.67330	0.24520	
1600.000	0.69670	0.22760	
1567.100	0.70770	0.21940	
Source	
Tamura K.; Nagata I.: Excess Enthalpies for the Ternary Systems 1-Propanol-Acetonitrile-Benzene and 2-Propanol-Acetonitrile-Benzene at 25°C. J.Chem.Eng.Data 31 (1986) 410-413	
Source	
Tamura K.; Nagata I.: Excess Enthalpies for the Ternary Systems 1-Propanol-Acetonitrile-Benzene and 2-Propanol-Acetonitrile-Benzene at 25°C. J.Chem.Eng.Data 31 (1986) 410-413	
