$$$Enthalpy of Mixing Data Set 4796
No.	Formula	Molar Mass	CAS Registry Number	Name
1	C3H8O	60.096	67-63-0	2-Propanol
2	C4H8O2	88.106	141-78-6	Ethyl acetate
3	C6H12	84.161	110-82-7	Cyclohexane
Temperature	298.150	K
hE [J/mol]	x1 [mol/mol]	x2 [mol/mol]
1200.200	0.01000	0.24620
1412.200	0.04430	0.23760
1582.500	0.09470	0.22510
1670.900	0.14560	0.21250
1721.500	0.21150	0.19610
1722.000	0.28000	0.17900
1676.900	0.35480	0.16040
1604.500	0.41940	0.14440
1510.900	0.48090	0.12910
1405.800	0.53690	0.11520
1317.300	0.57810	0.10490
1271.300	0.59820	0.09990
1245.200	0.60910	0.09720
1135.800	0.65280	0.08630
1023.300	0.69460	0.07590
802.900	0.73890	0.06470
789.500	0.77380	0.05620
696.200	0.80330	0.04890
1478.400	0.01790	0.49310
1640.500	0.04830	0.47790
1807.100	0.09060	0.45660
1933.100	0.14230	0.43060
2011.100	0.20240	0.40050
2037.700	0.26230	0.37040
2016.700	0.33360	0.33460
1943.100	0.40920	0.29670
1839.400	0.47560	0.26330
1725.700	0.53180	0.23510
1713.700	0.53740	0.23230
1515.300	0.61560	0.19300
1401.200	0.65510	0.17320
1264.000	0.69750	0.15190
1124.500	0.73870	0.13120
1033.500	0.76880	0.11610
1006.700	0.77150	0.11470
869.400	0.80680	0.09700
751.100	0.83600	0.08230
643.000	0.86170	0.06940
558.900	0.88180	0.05970
1085.600	0.01610	0.74510
1264.000	0.04390	0.72410
1434.900	0.07550	0.70010
1612.900	0.11550	0.66980
1758.000	0.16110	0.63530
1874.500	0.20890	0.59910
1966.100	0.26770	0.55450
2011.000	0.33420	0.50420
2005.000	0.40260	0.45560
1947.500	0.47240	0.39960
1858.100	0.55250	0.35400
1840.500	0.54150	0.34720
1817.400	0.55480	0.33710
1743.200	0.59080	0.30990
1636.100	0.63460	0.27670
1487.700	0.68600	0.23780
1341.400	0.72980	0.20460
1238.500	0.75780	0.18340
Source
Nagata I.; Tamura K.: Excess molar enthalpies of (propan-1-ol + ethyl ethanoate + cyclohexane) and (propan-2-ol + ethyl ethanoate + cyclohexane) at 298.15 K. J.Chem.Thermodyn. 17 (1985) 747-750
Source
Nagata I.; Tamura K.: Excess molar enthalpies of (propan-1-ol + ethyl ethanoate + cyclohexane) and (propan-2-ol + ethyl ethanoate + cyclohexane) at 298.15 K. J.Chem.Thermodyn. 17 (1985) 747-750
