$$$Enthalpy of Mixing Data Set 19746	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	C2H4O2	60.053	64-19-7	Acetic acid	
2	C8H10	106.167	106-42-3	p-Xylene	
Temperature	298.150	K	
hE [J/mol]	x1 [mol/mol]	
147.210	0.14860	
224.850	0.25880	
270.430	0.34370	
299.650	0.41100	
314.700	0.46600	
326.000	0.51200	
331.500	0.55000	
334.600	0.58300	
290.000	0.77200	
277.920	0.79400	
259.310	0.81810	
237.140	0.84400	
209.060	0.87100	
174.560	0.90000	
129.270	0.93100	
72.020	0.96430	
Source	
Katyal R.C.; Sethi B.P.S.; Raju K.S.N.: Enthalpies of Mixing and Viscosities of Binary Systems Acetic Acid with o-, m-, p-Xylene at 298,15 K. Indian J.Technol. 29 (1991) 200-204	
Source	
Katyal R.C.; Sethi B.P.S.; Raju K.S.N.: Enthalpies of Mixing and Viscosities of Binary Systems Acetic Acid with o-, m-, p-Xylene at 298,15 K. Indian J.Technol. 29 (1991) 200-204	
