$$$Enthalpy of Mixing Data Set 4463
No.	Formula	Molar Mass	CAS Registry Number	Name
1	C3H6O	58.080	67-64-1	Acetone
2	C2H6O2	62.068	107-21-1	1,2-Ethanediol
Temperature	323.150	K
hE [J/mol]	x1 [mol/mol]
48.200	0.01460
120.400	0.03620
231.200	0.07050
351.400	0.11030
470.000	0.15190
595.100	0.20000
726.300	0.25710
841.400	0.31610
930.000	0.37160
995.500	0.42360
1023.300	0.44700
1060.900	0.49500
1086.500	0.55260
1088.300	0.61400
1068.900	0.66260
1028.800	0.71130
964.800	0.75950
867.200	0.80950
545.100	0.90800
283.400	0.95820
114.500	0.98450
Source
Villamanan M.A.; Van Ness H.C.: Excess Enthalpies of 1,2-Ethanediol + 2-Propanone or + Ethanenitrile. Int.Data Series Sel.Data Mixtures Ser. A 1984 (1984) 86-87
Source
Villamanan M.A.; Van Ness H.C.: Excess Enthalpies of 1,2-Ethanediol + 2-Propanone or + Ethanenitrile. Int.Data Series Sel.Data Mixtures Ser. A 1984 (1984) 86-87
