$$$Enthalpy of Mixing Data Set 3924	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	C3H6O	58.080	67-64-1	Acetone	
2	CHCl3	119.377	67-66-3	Chloroform	
3	C2H3N	41.053	75-05-8	Acetonitrile	
Temperature	298.150	K	
hE [J/mol]	x1 [mol/mol]	x2 [mol/mol]	
-1116.800	0.72180	0.24180	
-1075.000	0.70220	0.23520	
-1002.200	0.66720	0.22350	
-934.200	0.63270	0.21190	
-839.000	0.58410	0.19570	
-753.500	0.53910	0.18050	
-702.700	0.51140	0.17130	
-643.900	0.47870	0.16030	
-573.600	0.43870	0.14690	
-513.500	0.40310	0.13500	
-455.500	0.36770	0.12310	
-406.200	0.33640	0.11270	
-340.700	0.29300	0.09810	
-286.900	0.25480	0.08540	
-239.200	0.21940	0.07350	
-198.400	0.18760	0.06290	
-173.500	0.16800	0.05620	
-143.500	0.14260	0.04770	
-133.500	0.13390	0.04480	
-1812.600	0.48580	0.48510	
-1730.600	0.47000	0.46940	
-1643.500	0.45280	0.45230	
-1544.700	0.43310	0.43260	
-1423.100	0.40830	0.40780	
-1279.100	0.37770	0.37720	
-1129.000	0.34460	0.34410	
-976.200	0.30960	0.30910	
-833.000	0.27500	0.27470	
-732.800	0.24970	0.24940	
-615.100	0.21840	0.21800	
-509.400	0.18880	0.18820	
-479.500	0.17960	0.17930	
-398.100	0.15450	0.15420	
-334.800	0.13400	0.13370	
-286.600	0.11770	0.11760	
-238.900	0.10090	0.10090	
-206.600	0.08920	0.08910	
-179.800	0.07900	0.07900	
-1566.900	0.24410	0.72960	
-1537.900	0.23470	0.70140	
-1476.500	0.21910	0.65460	
-1406.200	0.20470	0.61140	
-1297.200	0.18580	0.55500	
-1165.000	0.16570	0.49500	
-1108.100	0.15760	0.47070	
-1032.000	0.14710	0.43980	
-963.300	0.13800	0.41220	
-851.200	0.12330	0.36850	
-753.400	0.11060	0.33070	
-660.000	0.09860	0.29480	
-576.700	0.08780	0.26230	
-525.900	0.08110	0.24140	
-461.000	0.07220	0.21510	
-392.600	0.06280	0.18700	
-334.300	0.05460	0.16270	
-298.200	0.04940	0.14720	
-255.400	0.04300	0.12840	
-220.000	0.03760	0.11220	
Source	
Nagata I.; Tamura K.; Tokuriki S.: Excess Enthalpies and Complex Formation of Acetonitrile with Acetone, Chloroform, and Benzene. Thermochim.Acta 47 (1981) 315-331	
Source	
Nagata I.; Tamura K.; Tokuriki S.: Excess Enthalpies and Complex Formation of Acetonitrile with Acetone, Chloroform, and Benzene. Thermochim.Acta 47 (1981) 315-331	
