$$$Enthalpy of Mixing Data Set 9297	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	C3H6O	58.080	67-64-1	Acetone	
2	C8H10	106.167	106-42-3	p-Xylene	
Temperature	298.150	K	
Pressure	1.010	bar	
hE [J/mol]	x1 [mol/mol]	
84.100	0.04980	
106.600	0.06530	
184.600	0.12250	
240.600	0.17310	
280.900	0.21830	
337.000	0.29520	
365.600	0.35830	
387.300	0.45580	
387.300	0.52750	
363.100	0.62620	
315.600	0.71530	
276.400	0.77010	
216.300	0.83400	
126.800	0.90950	
64.500	0.95260	
Source	
Francesconi R.; Comelli F.: Excess Enthalpies for Binary Mixtures of Toluene, p-Xylene or Pseudocumene + Methyl-N-Alkyl Ketones. Application of an Extended Cell Model. Thermochim.Acta 216 (1993) 35-44	
Source	
Francesconi R.; Comelli F.: Excess Enthalpies for Binary Mixtures of Toluene, p-Xylene or Pseudocumene + Methyl-N-Alkyl Ketones. Application of an Extended Cell Model. Thermochim.Acta 216 (1993) 35-44	
