$$$Enthalpy of Mixing Data Set 11566	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	C2H3N	41.053	75-05-8	Acetonitrile	
2	CHCl3	119.377	67-66-3	Chloroform	
3	C4H8O2	88.106	141-78-6	Ethyl acetate	
Temperature	308.150	K	
hE [J/mol]	x1 [mol/mol]	x2 [mol/mol]	
-1836.400	0.02640	0.48410	
-1118.900	0.04080	0.24230	
-1505.500	0.05420	0.70850	
-1707.500	0.06760	0.46360	
-1010.700	0.09130	0.22960	
-1583.200	0.10970	0.44270	
-1413.700	0.12440	0.65590	
-900.200	0.14640	0.21570	
-1461.000	0.15290	0.42120	
-1338.300	0.19700	0.39930	
-798.500	0.20090	0.20190	
-1197.100	0.25260	0.37160	
-698.600	0.25800	0.18750	
-1205.300	0.26090	0.55370	
-1059.000	0.30850	0.34380	
-606.400	0.31430	0.17320	
-520.800	0.37050	0.15900	
-1005.700	0.37560	0.46780	
-879.500	0.38680	0.30490	
-442.200	0.42600	0.14500	
-877.000	0.44650	0.41460	
-716.700	0.46390	0.26650	
-362.300	0.48750	0.12950	
-768.000	0.50570	0.37030	
-586.600	0.53100	0.23320	
-291.400	0.54750	0.11430	
-675.100	0.55610	0.33250	
-491.300	0.58430	0.20670	
-238.900	0.59680	0.10190	
-465.800	0.59940	0.19920	
-594.200	0.60000	0.29970	
-207.100	0.62930	0.09360	
-537.400	0.63830	0.27090	
-383.900	0.64920	0.17440	
-178.500	0.66010	0.08590	
-462.100	0.68060	0.23930	
-310.600	0.69840	0.15000	
-397.500	0.71770	0.21150	
-131.000	0.71780	0.07130	
-260.900	0.73430	0.13210	
-356.400	0.74180	0.19340	
-107.000	0.75080	0.06300	
-219.200	0.76620	0.11620	
-88.800	0.77790	0.05610	
-193.800	0.78700	0.10590	
-69.200	0.80150	0.05020	
-57.900	0.82220	0.04490	
Source	
Nagata I.; Tamura K.: Excess Enthalpies of Acetonitrile + Trichloromethane, + Ethyl Acetate, and + Methyl Acetate, and of (Acetonitrile + Trichloromethane) + Ethyl Acetate and + Methyl Acetate at 308.15 K. J.Chem.Thermodyn. 15 (1983) 721-724	
Source	
Nagata I.; Tamura K.: Excess Enthalpies of Acetonitrile + Trichloromethane, + Ethyl Acetate, and + Methyl Acetate, and of (Acetonitrile + Trichloromethane) + Ethyl Acetate and + Methyl Acetate at 308.15 K. J.Chem.Thermodyn. 15 (1983) 721-724	
