$$$Enthalpy of Mixing Data Set 496
No.	Formula	Molar Mass	CAS Registry Number	Name
1	CHCl3	119.377	67-66-3	Chloroform
2	C6H12	84.161	592-41-6	1-Hexene
Temperature	298.150	K
hE [J/mol]	x1 [mol/mol]
62.300	0.14910
89.000	0.22020
121.200	0.34350
136.600	0.42340
147.400	0.49150
149.400	0.53740
144.900	0.59680
131.500	0.69660
117.600	0.77150
Source
Woycicki W.: 6. Chloroform + an n-Alkene. J.Chem.Thermodyn. 11 (1979) 985-992
Source
Woycicki W.: 6. Chloroform + an n-Alkene. J.Chem.Thermodyn. 11 (1979) 985-992
