$$$Enthalpy of Mixing Data Set 13023
No.	Formula	Molar Mass	CAS Registry Number	Name
1	CHCl3	119.377	67-66-3	Chloroform
2	C4H8O	72.107	109-99-9	Tetrahydrofuran
3	C6H12	84.161	110-82-7	Cyclohexane
Temperature	298.150	K
hE [J/mol]	x1 [mol/mol]	x2 [mol/mol]
303.000	0.01290	0.11610
432.000	0.02500	0.22500
438.000	0.03640	0.32720
215.000	0.03890	0.09070
388.000	0.04720	0.42340
380.000	0.04720	0.42340
292.000	0.05010	0.20040
280.000	0.05730	0.51420
142.300	0.065000.06500
126.100	0.06680	0.59990
130.400	0.06680	0.59990
223.000	0.07290	0.29130
-57.200	0.07580	0.68100
160.400	0.07810	0.05200
-280.000	0.08440	0.75770
177.200	0.09110	0.03910
-524.000	0.09250	0.83060
82.500	0.09430	0.37690
117.900	0.10050	0.15080
204.000	0.10390	0.02630
52.400	0.10960	0.25520
-113.900	0.11440	0.45760
246.000	0.11720	0.01300
83.700	0.125800.12580
-353.000	0.13350	0.53370
-363.000	0.13350	0.53370
-178.500	0.14170	0.33010
-66.900	0.14610	0.21910
89.900	0.15120	0.10060
-615.000	0.15150	0.60570
-900.000	0.16860	0.67380
-447.000	0.17200	0.40060
-438.000	0.17200	0.40060
137.200	0.17630	0.07570
-130.100	0.182800.18280
-1213.000	0.18470	0.73850
-326.000	0.18890	0.28340
-744.000	0.20060	0.46730
229.000	0.20160	0.05040
-104.200	0.21960	0.14630
344.000	0.22680	0.02520
-1065.000	0.22760	0.53010
-654.000	0.22920	0.34390
-650.000	0.22920	0.34390
-411.000	0.23640	0.23630
-414.000	0.23640	0.23630
-1410.000	0.25320	0.58960
-11.400	0.25610	0.10990
-987.000	0.26730	0.40090
-1772.000	0.27740	0.64600
-368.000	0.28390	0.18910
-733.000	0.28680	0.28670
133.800	0.29280	0.07330
-1358.000	0.30320	0.45480
-1366.000	0.30320	0.45480
343.000	0.32940	0.03670
-243.000	0.33110	0.14210
-1092.000	0.33430	0.33420
-1744.000	0.33720	0.50580
-700.000	0.34450	0.22930
-2149.000	0.36940	0.55410
-33.200	0.37760	0.09560
-18.100	0.37850	0.09480
-1490.000	0.37920	0.37910
-1497.000	0.37920	0.37910
-1043.000	0.40150	0.26730
-517.000	0.40160	0.17240
-509.000	0.40160	0.17240
-1902.000	0.42170	0.42150
281.000	0.42580	0.04740
-1427.000	0.45530	0.30320
-248.000	0.45800	0.11600
-222.000	0.45910	0.11490
-2312.000	0.46190	0.46180
-835.000	0.46810	0.20090
-1821.000	0.50630	0.33710
168.400	0.51650	0.05750
-1170.000	0.53080	0.22780
-474.000	0.53510	0.13390
-2227.000	0.55450	0.36920
-1531.000	0.59020	0.25330
-3.000	0.60200	0.06700
-744.000	0.60680	0.15190
-1908.000	0.64640	0.27740
-1041.000	0.67460	0.16890
-186.000	0.68270	0.07600
-1382.000	0.73710	0.18670
-411.000	0.75900	0.08450
-650.000	0.83130	0.09260
Source
Conti G.; Gianni P.; Tramati M.; Lepori L.; Matteoli E.: Excess molar enthalpies and excess molar heat capacities of (chloroform + tetrahydrofuran + cyclohexane) at the temperature 298.15 K. J.Chem.Thermodyn. 29 (1997) 865-877
Source
Conti G.; Gianni P.; Tramati M.; Lepori L.; Matteoli E.: Excess molar enthalpies and excess molar heat capacities of (chloroform + tetrahydrofuran + cyclohexane) at the temperature 298.15 K. J.Chem.Thermodyn. 29 (1997) 865-877
