$$$Enthalpy of Mixing Data Set 17669
No.	Formula	Molar Mass	CAS Registry Number	Name
1	C6H12	84.161	110-82-7	Cyclohexane
2	C6H12	84.161	110-82-7	Acetic acid butyl ester
Temperature	308.150	K
hE [J/mol]	x1 [mol/mol]
236.400	0.09390
396.200	0.16890
470.400	0.20350
858.200	0.35340
1120.100	0.44830
1254.200	0.50390
1385.800	0.59650
1392.100	0.66110
1286.500	0.73280
1071.400	0.80250
816.900	0.85910
Source
Maken S.; Deshwal B.R.; Chadha R.; Anu; Singh K.C.; Kim H.; Park J.-W.: Molar Excess Volumes and Molar Excess Enthalpies. Fluid Phase Equilib. 235 (2005) 42-49
Source
Maken S.; Deshwal B.R.; Chadha R.; Anu; Singh K.C.; Kim H.; Park J.-W.: Molar Excess Volumes and Molar Excess Enthalpies. Fluid Phase Equilib. 235 (2005) 42-49
