$$$Enthalpy of Mixing Data Set 1105	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	C2H6O	46.069	64-17-5	Ethanol	
2	C4H8O2S	120.172	126-33-0	Sulfolane	
Temperature	303.150	K	
hE [J/mol]	x1 [mol/mol]	
602.899	0.09500	
979.711	0.15000	
1243.480	0.20200	
1875.690	0.39600	
1984.540	0.54800	
1838.010	0.66300	
1657.970	0.75300	
1009.020	0.90100	
573.592	0.94900	
Source	
Tommila E.; Lindell E.; Virtalaine M.-L.; Laakso R.: Densities, Viscosities, Surface Tensions, Dielectric Constants, Vapour Pressures, Activities, and Heats of Mixing of Sulpholane-Water, Sulpholane-Methanol, and Sulpholane-Ethanol Mixtures. Suom.Kemistil. 42 (1969) 95-104	
Source	
Tommila E.; Lindell E.; Virtalaine M.-L.; Laakso R.: Densities, Viscosities, Surface Tensions, Dielectric Constants, Vapour Pressures, Activities, and Heats of Mixing of Sulpholane-Water, Sulpholane-Methanol, and Sulpholane-Ethanol Mixtures. Suom.Kemistil. 42 (1969) 95-104	
