$$$Enthalpy of Mixing Data Set 18608
No.	Formula	Molar Mass	CAS Registry Number	Name
1	C4H8O2	88.106	141-78-6	Ethyl acetate
2	C2H6O2	62.068	107-21-1	1,2-Ethanediol
Temperature	321.350	K
hE [J/mol]	x1 [mol/mol]
90.260	0.10300
164.960	0.20000
199.290	0.29000
217.580	0.38100
225.720	0.50100
216.010	0.60300
188.450	0.70100
144.910	0.80100
74.750	0.93300
Source
Thorat R.T.; Nageshwar G.D.: Ethyl Acetate-Ethylene Glycol. Indian Chem.Eng. 30 (1988) 50-54
Source
Thorat R.T.; Nageshwar G.D.: Ethyl Acetate-Ethylene Glycol. Indian Chem.Eng. 30 (1988) 50-54
