$$$Enthalpy of Mixing Data Set 7173	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	CH4O	32.042	67-56-1	Methanol	
2	C8H10	106.167	108-38-3	m-Xylene	
Temperature	298.200	K	
hE [J/mol]	x1 [mol/mol]	
419.200	0.06560	
530.500	0.09230	
675.100	0.15770	
733.900	0.23300	
742.200	0.29750	
742.200	0.32730	
727.500	0.41280	
699.700	0.48110	
633.300	0.56990	
529.400	0.68130	
434.200	0.76180	
323.200	0.84110	
230.400	0.89540	
133.400	0.94330	
Source	
Letcher T.M.; Prasad A.K.; Schoonbaert F.E.Z.; Mercer-Chalmers J.: Excess enthalpies of (a xylene + an alkanol) at 298.2 K. J.Chem.Thermodyn. 22 (1990) 765-770	
Source	
Letcher T.M.; Prasad A.K.; Schoonbaert F.E.Z.; Mercer-Chalmers J.: Excess enthalpies of (a xylene + an alkanol) at 298.2 K. J.Chem.Thermodyn. 22 (1990) 765-770	
