$$$Enthalpy of Mixing Data Set 12975
No.	Formula	Molar Mass	CAS Registry Number	Name
1	N2	28.013	7727-37-9	Nitrogen
2	C3H6O	58.080	67-64-1	Acetone
x	0.50000	mol/mol
Pressure	1.010	bar
hE [J/mol]	T [K]
155.100	333.200
130.300	343.200
113.000	353.200
96.500	363.200
86.700	373.200
75.200	383.200
69.100	393.200
63.400	403.200
56.800	413.200
50.700	423.200
Source
Doyle J.; Hutchings D.J.; Lancaster N.M.; Wormald C.J.: The excess molar enthalpy of (nitrogen + dimethyl ketone)(g) from temperatures of 333.2 K to 423.2 K. J.Chem.Thermodyn. 29 (1997) 677-685
Source
Doyle J.; Hutchings D.J.; Lancaster N.M.; Wormald C.J.: The excess molar enthalpy of (nitrogen + dimethyl ketone)(g) from temperatures of 333.2 K to 423.2 K. J.Chem.Thermodyn. 29 (1997) 677-685
