$$$Enthalpy of Mixing Data Set 9627	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	C4H8O	72.107	109-99-9	Tetrahydrofuran	
2	C2H3N	41.053	75-05-8	Acetonitrile	
Temperature	298.150	K	
hE [J/mol]	x1 [mol/mol]	
1.800	0.01130	
17.300	0.08470	
25.400	0.09970	
56.100	0.15400	
84.400	0.18940	
101.100	0.25030	
98.300	0.27190	
102.300	0.28850	
103.300	0.31910	
105.200	0.32820	
105.500	0.33270	
103.900	0.36940	
102.700	0.39560	
102.100	0.40790	
102.200	0.41280	
102.400	0.44130	
98.200	0.44610	
92.900	0.49040	
87.600	0.51330	
68.500	0.57650	
55.000	0.60350	
45.300	0.65550	
33.900	0.67580	
25.100	0.70990	
16.400	0.76190	
7.500	0.81070	
2.900	0.84740	
-6.100	0.87690	
-13.400	0.90820	
-8.800	0.91960	
-8.600	0.94790	
Source	
Letcher T.M.; Domanska U.: The excess enthalpies of (acetonitrile + an ether) at the temperature 298.15 K. J.Chem.Thermodyn. 26 (1994) 75-84	
Source	
Letcher T.M.; Domanska U.: The excess enthalpies of (acetonitrile + an ether) at the temperature 298.15 K. J.Chem.Thermodyn. 26 (1994) 75-84	
