$$$Enthalpy of Mixing Data Set 1737	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	C4H8O	72.107	109-99-9	Tetrahydrofuran	
2	C8H10	106.167	108-38-3	m-Xylene	
Temperature	298.150	K	
hE [J/mol]	x1 [mol/mol]	
-78.293	0.14430	
-102.577	0.19550	
-137.327	0.27130	
-177.102	0.38050	
-189.662	0.44440	
-192.593	0.47340	
-192.593	0.55060	
-187.150	0.60160	
-156.168	0.72180	
-131.884	0.78100	
Source	
Mahl B.S.; Kooner Z.S.; Khurma J.R.: Thermodynamic Evidence for Complex Formation between Tetrahydrofuran and Aromatic Hydrocarbons. J.Chem.Eng.Data 23 (1978) 150-152	
Source	
Mahl B.S.; Kooner Z.S.; Khurma J.R.: Thermodynamic Evidence for Complex Formation between Tetrahydrofuran and Aromatic Hydrocarbons. J.Chem.Eng.Data 23 (1978) 150-152	
