$$$Excess Heat Capacity Data Set 278
No.	Formula	Molar Mass	CAS Registry Number	Name
1	C6H6	78.114	71-43-2	Benzene
2	C8H10	106.167	108-38-3	m-Xylene
Temperature	298.15	K
Excess Heat Capacity [J/mol*K]	x1 [mol/mol]
-0.3880	0.10449
-0.6570	0.19848
-0.8850	0.30073
-1.0360	0.40751
-1.1090	0.49921
-1.0890	0.60641
-0.9940	0.70452
-0.8350	0.78514
-0.5250	0.88662
Source
Fortier J.-L.; Benson G.C.: Heat Capacities of Some Binary Aromatic Hydrocarbon Mixtures Containing Benzene or Toluene. J.Chem.Eng.Data 24 (1979) 34-37
Source
Fortier J.-L.; Benson G.C.: Heat Capacities of Some Binary Aromatic Hydrocarbon Mixtures Containing Benzene or Toluene. J.Chem.Eng.Data 24 (1979) 34-37
