$$$Excess Heat Capacity Data Set 354	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	C6H12	84.161	110-82-7	Cyclohexane	
2	C6H12	84.161	110-82-7	Acetic acid butyl ester	
Temperature	298.15	K	
Excess Heat Capacity [J/mol*K]	x1 [mol/mol]	
-0.1090	0.02040	
-0.2340	0.04980	
-0.3540	0.08340	
-0.4900	0.11600	
-0.6130	0.16000	
-0.7660	0.20980	
-0.9830	0.30770	
-1.2590	0.49700	
-1.3230	0.61000	
-1.2940	0.70690	
-1.1950	0.80030	
-1.0910	0.84640	
-0.9360	0.88970	
-0.6010	0.94490	
-0.4590	0.96170	
Source	
Jimenez E.; Romani L.; Paz Andrade M.I.; Roux-Desgranges G.; Grolier J.-P.: Molar Excess Heat Capacities and Volumes for Mixtures of Alkanoates with Cyclohexane at 25 ° C. J.Solution Chem. 15 (1986) 879-890	
Source	
Jimenez E.; Romani L.; Paz Andrade M.I.; Roux-Desgranges G.; Grolier J.-P.: Molar Excess Heat Capacities and Volumes for Mixtures of Alkanoates with Cyclohexane at 25 ° C. J.Solution Chem. 15 (1986) 879-890	
