$$$Excess Heat Capacity Data Set 954
No.	Formula	Molar Mass	CAS Registry Number	Name
1	C4H8O2	88.106	141-78-6	Ethyl acetate
2	C6H6	78.114	71-43-2	Benzene
Temperature	298.15	K
Excess Heat Capacity [J/mol*K]	x1 [mol/mol]
0.0300	0.02500
-0.0300	0.05000
-0.2900	0.10000
-0.4800	0.15000
-0.7500	0.20000
-0.9500	0.25000
-1.1100	0.30000
-1.2100	0.35000
-1.3200	0.40000
-1.4000	0.45000
-1.5000	0.50000
-1.5200	0.55000
-1.5100	0.60000
-1.4800	0.65000
-1.3700	0.70000
-1.2000	0.75000
-0.9900	0.80000
-0.7300	0.85000
-0.5300	0.90000
-0.2400	0.95000
-0.1400	0.97500
Source
Hu J.; Tamura K.; Murakami S.: Excess Thermodynamic Properties of Binary Mixtures of Ethyl Acetate with Benzene, Ethanol, and 2,2,2-Trifluoroethan-1-ol at 298.15 K. Fluid Phase Equilib. 134 (1997) 239-253
Source
Hu J.; Tamura K.; Murakami S.: Excess Thermodynamic Properties of Binary Mixtures of Ethyl Acetate with Benzene, Ethanol, and 2,2,2-Trifluoroethan-1-ol at 298.15 K. Fluid Phase Equilib. 134 (1997) 239-253
