$$$Excess Volume Data Set 6255
No.	Formula	Molar Mass	CAS Registry Number	Name
1	C6H12	84.161	592-41-6	1-Hexene
2	C8H10	106.167	108-38-3	m-Xylene
Temperature	298.150	K
Excess Volume [cm3/mol]	x1 [mol/mol]
-0.0800	0.04820
-0.1200	0.07180
-0.1900	0.12690
-0.3300	0.26660
-0.3500	0.29060
-0.3700	0.31760
-0.3900	0.35680
-0.4100	0.41940
-0.4200	0.47060
-0.4200	0.50500
-0.4100	0.53620
-0.4100	0.57190
-0.3900	0.63570
-0.3600	0.67990
-0.3300	0.73420
-0.2700	0.79220
-0.2200	0.84260
-0.1300	0.90950
-0.0800	0.93890
Source
Tojo J.; Diaz C.: Densities and Refractive Indices for 1-Hexene + o-Xylene, + m-Xylene, + p-Xylene, and + Ethylbenzene. J.Chem.Eng.Data 40 (1995) 96-98
Source
Tojo J.; Diaz C.: Densities and Refractive Indices for 1-Hexene + o-Xylene, + m-Xylene, + p-Xylene, and + Ethylbenzene. J.Chem.Eng.Data 40 (1995) 96-98
