$$$Excess Volume Data Set 4634	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	C8H10	106.167	106-42-3	Acetic acid butyl ester	
2	C8H10	106.167	106-42-3	p-Xylene	
Temperature	293.150	K	
Excess Volume [cm3/mol]	x1 [mol/mol]	
-0.0540	0.09900	
-0.0910	0.19500	
-0.1140	0.28800	
-0.1230	0.38300	
-0.1360	0.48800	
-0.1190	0.59000	
-0.1040	0.68700	
-0.0760	0.78800	
-0.0400	0.89700	
Source	
Qin A.; Hoffman D.E.; Munk P.: Excess Volume of Mixtures of Selected Alkyl Esters and Ketones with Aromatic Hydrocarbons. J.Chem.Eng.Data 37 (1992) 66-70	
Source	
Qin A.; Hoffman D.E.; Munk P.: Excess Volume of Mixtures of Selected Alkyl Esters and Ketones with Aromatic Hydrocarbons. J.Chem.Eng.Data 37 (1992) 66-70	
