$$$Excess Volume Data Set 8740	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	C2H4O2	60.053	64-19-7	Acetic acid	
2	C5H9NO	99.133	872-50-4	N-Methyl-2-pyrrolidone	
Temperature	293.150	K	
Excess Volume [cm3/mol]	x1 [mol/mol]	
-0.2800	0.10058	
-0.5900	0.19704	
-0.8000	0.29488	
-0.9600	0.38576	
-1.0800	0.48916	
-1.1700	0.58303	
-1.0800	0.70078	
-0.8900	0.79067	
-0.6000	0.89302	
Source	
Virtanen P.O.I.: Part IV. Densities, Viscosities and Related Properties of Binary Solvent Mixtures Containing N-Methyl-2-Pyrrolidone as One Component. Suom.Kemistil. 40 (1967) 241-249	
Source	
Virtanen P.O.I.: Part IV. Densities, Viscosities and Related Properties of Binary Solvent Mixtures Containing N-Methyl-2-Pyrrolidone as One Component. Suom.Kemistil. 40 (1967) 241-249	
