$$$Excess Volume Data Set 7367	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	C3H6O	58.080	67-64-1	Acetone	
2	CH4O	32.042	67-56-1	Methanol	
3	C3H8O	60.096	67-63-0	2-Propanol	
Temperature	298.150	K	
Excess Volume [cm3/mol]	x1 [mol/mol]	x2 [mol/mol]	
0.0190	0.04690	0.08570	
0.0090	0.04870	0.20520	
-0.0120	0.04280	0.35840	
-0.0150	0.04000	0.49130	
-0.0230	0.03720	0.58810	
-0.0320	0.03370	0.68300	
-0.0470	0.03490	0.76490	
-0.0500	0.03250	0.84010	
-0.0540	0.03020	0.90570	
0.1050	0.15480	0.05920	
0.0400	0.14480	0.21300	
-0.0010	0.13270	0.36900	
-0.0470	0.12530	0.48090	
-0.0900	0.12170	0.58330	
-0.1050	0.11560	0.67200	
-0.1240	0.10620	0.76710	
-0.1440	0.10470	0.83390	
0.1400	0.23500	0.07450	
0.0510	0.23240	0.22130	
-0.0260	0.21420	0.36750	
-0.0850	0.20340	0.47670	
-0.1320	0.20580	0.55050	
-0.0177	0.18280	0.67460	
-0.1930	0.17070	0.75730	
0.1660	0.33720	0.09010	
0.0810	0.33860	0.17290	
-0.0610	0.29880	0.35940	
-0.1330	0.27930	0.48540	
-0.2000	0.26450	0.58820	
-0.2170	0.24740	0.62620	
0.1720	0.43760	0.07500	
0.0300	0.40910	0.21430	
-0.1040	0.37770	0.37060	
-0.2060	0.35010	0.49190	
-0.2640	0.32730	0.59250	
0.1720	0.53390	0.07350	
-0.0160	0.49570	0.22810	
-0.1680	0.45650	0.37370	
-0.2610	0.42880	0.48660	
-0.0680	0.58910	0.22420	
-0.2320	0.53730	0.37420	
0.0820	0.72700	0.07760	
-0.1280	0.67730	0.22580	
0.0250	0.82150	0.07390	
-0.2110	0.20460	0.72470	
-0.0110	0.22020	0.30600	
-0.0790	0.74470	0.15800	
0.0090	0.65080	0.15770	
-0.0250	0.08800	0.38900	
-0.0040	0.06800	0.30350	
-0.0430	0.22020	0.35970	
-0.0350	0.33030	0.30960	
-0.0230	0.46870	0.23620	
0.0700	0.22570	0.16430	
0.1480	0.42640	0.09640	
0.0040	0.13800	0.29780	
-0.1030	0.48150	0.29920	
Source	
Iglesias M.; Orge B.; Tojo J.: Densities, refractive indices, and derived excess properties of {x1 CH3COCH3 + x2 CH3OH + (1-x1-x2) CH3CH(OH)CH3} at the temperature 298.15 K. J.Chem.Thermodyn. 27 (1995) 1161-1167	
Source	
Iglesias M.; Orge B.; Tojo J.: Densities, refractive indices, and derived excess properties of {x1 CH3COCH3 + x2 CH3OH + (1-x1-x2) CH3CH(OH)CH3} at the temperature 298.15 K. J.Chem.Thermodyn. 27 (1995) 1161-1167	
