$$$Excess Volume Data Set 4166
No.	Formula	Molar Mass	CAS Registry Number	Name
1	C3H6O	58.080	67-64-1	Acetone
2	CH4O	32.042	67-56-1	Methanol
3	H2O	18.015	7732-18-5	Water
Temperature	298.150	K
Excess Volume [cm3/mol]	x1 [mol/mol]	x2 [mol/mol]
-1.2365	0.14630	0.21110
-1.3616	0.49400	0.07290
-1.4048	0.28010	0.07610
-1.3628	0.24330	0.09030
-0.8674	0.07340	0.12820
-1.3825	0.25010	0.15490
-1.3322	0.43310	0.15790
-1.3732	0.24430	0.16430
-1.0493	0.09780	0.16870
-1.4079	0.29980	0.17120
-1.3838	0.26950	0.19160
-1.2332	0.35410	0.29650
-1.0438	0.05740	0.28300
-1.0323	0.41610	0.33210
-1.2333	0.28800	0.33850
-1.2565	0.18370	0.35870
-0.9033	0.45000	0.35270
-1.1596	0.09390	0.41180
-0.9064	0.30690	0.48390
-1.1317	0.24430	0.44770
-0.8395	0.32550	0.49660
-1.0370	0.10620	0.55600
-0.9653	0.10610	0.59340
-0.6499	0.22000	0.64780
-0.6697	0.18290	0.67430
-1.4140	0.27090	0.09810
-1.3990	0.34480	0.17220
-1.2584	0.17010	0.16160
Source
Noda K.; Ohashi M.; Ishida K.: Viscosities and Densities at 298.15 K for Mixtures of Methanol, Acetone, and Water. J.Chem.Eng.Data 27 (1982) 326-328
$$$Excess Volume Data Set 9777
No.	Formula	Molar Mass	CAS Registry Number	Name
1	C3H6O	58.080	67-64-1	Acetone
2	CH4O	32.042	67-56-1	Methanol
3	H2O	18.015	7732-18-5	Water
Temperature	298.150	K
Excess Volume [cm3/mol]	x1 [mol/mol]	x2 [mol/mol]
-0.3080	0.01270	0.06690
-0.5340	0.01390	0.13480
-1.0070	0.01730	0.37020
-1.0360	0.01860	0.47920
-0.9670	0.02120	0.61400
-0.4340	0.04760	0.02340
-0.9870	0.05840	0.22570
-1.1050	0.06360	0.31340
-1.1430	0.06910	0.41450
-1.0660	0.07740	0.54540
-1.1580	0.10000	0.25100
-1.2150	0.11150	0.35650
-1.1350	0.12110	0.47820
-0.8830	0.13780	0.63160
-1.2430	0.14470	0.19070
-1.2910	0.15750	0.28740
-1.2250	0.17490	0.40850
-0.9350	0.19960	0.57000
-1.2850	0.19220	0.10500
-1.3510	0.20990	0.21270
-1.2970	0.23430	0.33380
-1.0240	0.26340	0.48050
-1.4140	0.26840	0.12230
-1.3660	0.29610	0.24850
-1.0870	0.34110	0.38880
-1.1310	0.42250	0.29290
-1.4450	0.45020	0.05820
-1.1480	0.51590	0.18970
-0.7470	0.75660	0.06050
-0.6730	0.76930	0.07400
-1.3190	0.48760	0.11270
-0.7920	0.63340	0.19780
-0.8170	0.50650	0.33200
-0.7880	0.41030	0.44060
-0.7390	0.32830	0.53620
-0.6770	0.25050	0.62260
-0.6510	0.17550	0.69200
-0.5630	0.11300	0.76680
-0.4670	0.05760	0.83210
-0.6090	0.73810	0.14420
-1.2840	0.40120	0.22390
-1.1870	0.25400	0.40620
-1.1010	0.18980	0.48500
-1.0360	0.12900	0.55640
-0.9470	0.08130	0.62130
-0.5090	0.67390	0.25480
-0.7930	0.68440	0.13850
-0.9440	0.63710	0.13570
-0.6080	0.50600	0.40850
-0.9770	0.52210	0.25370
-0.5330	0.27280	0.65420
-0.4620	0.16930	0.76050
-0.5760	0.59660	0.32260
-0.8690	0.57020	0.24080
-0.5260	0.43210	0.51220
-1.1890	0.33190	0.34650
-1.4470	0.31780	0.10770
-1.1600	0.12110	0.18510
-0.9350	0.05960	0.62780
-0.8630	0.05630	0.67170
-0.7300	0.04620	0.73770
-1.0300	0.09310	0.16740
-1.2300	0.17630	0.10280
-1.2020	0.18500	0.05640
-1.3330	0.20180	0.16300
-1.4410	0.36710	0.10520
-1.4670	0.35400	0.06160
-1.3740	0.24870	0.07460
-1.4070	0.28380	0.19460
-1.3550	0.36690	0.20810
-1.2530	0.42560	0.22670
-1.1930	0.53370	0.13970
-1.0960	0.62720	0.07380
-0.5120	0.76500	0.14100
-0.6970	0.28720	0.58550
-0.7690	0.37310	0.48320
-1.1230	0.35670	0.35930
-0.8080	0.44360	0.40520
-1.0830	0.41180	0.32170
Source
Iglesias M.; Orge B.; Tojo J.: Refractive indices, densities and excess properties on mixing of the systems acetone + methanol + water and acetone + methanol + 1-butanol at 298.15 K. Fluid Phase Equilib. 126 (1996) 203-223
Source
Noda K.; Ohashi M.; Ishida K.: Viscosities and Densities at 298.15 K for Mixtures of Methanol, Acetone, and Water. J.Chem.Eng.Data 27 (1982) 326-328
Iglesias M.; Orge B.; Tojo J.: Refractive indices, densities and excess properties on mixing of the systems acetone + methanol + water and acetone + methanol + 1-butanol at 298.15 K. Fluid Phase Equilib. 126 (1996) 203-223
