$$$Excess Volume Data Set 15706	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	CHCl3	119.377	67-66-3	Chloroform	
2	H2O	18.015	7732-18-5	Water	
3	C2H4O2	60.053	64-19-7	Acetic acid	
Temperature	298.150	K	
Excess Volume [cm3/mol]	x1 [mol/mol]	x2 [mol/mol]	
-0.5940	0.19490	0.31600	
-0.8953	0.08820	0.51060	
-1.0165	0.02640	0.60860	
-0.2854	0.31660	0.21400	
-0.7973	0.09560	0.31680	
-0.9645	0.06470	0.49060	
-0.8210	0.07850	0.30700	
-0.9134	0.08370	0.47590	
-0.8802	0.09390	0.50510	
-0.7387	0.11570	0.29890	
-0.6442	0.16670	0.31420	
-0.6819	0.17750	0.43120	
-0.4045	0.30270	0.29400	
0.0754	0.53990	0.09530	
-0.4645	0.28180	0.33080	
-1.0095	0.03950	0.34910	
-0.8001	0.01240	0.77950	
-0.6793	0.02240	0.16610	
-0.5582	0.00600	0.12210	
-0.8029	0.00310	0.79380	
-0.7260	0.00380	0.82160	
-0.6130	0.00260	0.85230	
-1.0577	0.02530	0.43280	
-0.5603	0.00320	0.87610	
-0.6806	0.00340	0.83940	
-0.7260	0.00360	0.82210	
-0.6455	0.00640	0.84650	
-0.8699	0.01150	0.74660	
-1.2410	0.00580	0.13250	
-0.5478	0.07170	0.16470	
-0.8218	0.06330	0.28150	
-0.8557	0.04110	0.27290	
-0.7475	0.03300	0.20940	
-1.1012	0.01230	0.54540	
-1.0152	0.01480	0.64630	
-0.9965	0.02020	0.33460	
-1.0144	0.02990	0.37600	
-0.9078	0.02150	0.27570	
-0.9860	0.04940	0.55320	
-1.0150	0.04530	0.50170	
-0.9436	0.04620	0.61570	
-0.9983	0.04290	0.57150	
-1.0163	0.04420	0.49240	
-0.8055	0.12490	0.41500	
-0.7170	0.13480	0.32120	
-0.5507	0.22450	0.31860	
-0.3113	0.24980	0.18670	
-0.2632	0.25430	0.16740	
-0.2836	0.28350	0.19650	
-0.3365	0.27400	0.21210	
-0.2158	0.36780	0.20060	
-0.5663	0.01420	0.13070	
-0.9066	0.02750	0.69590	
-0.9198	0.06580	0.56920	
-1.0056	0.00900	0.66750	
-0.9337	0.07200	0.52030	
-0.8367	0.11060	0.41140	
-0.8278	0.10910	0.50710	
-0.8947	0.06170	0.57670	
-0.9158	0.03660	0.66520	
-0.8565	0.01670	0.74610	
-0.9158	0.05130	0.62640	
-0.9687	0.05790	0.53230	
-0.9146	0.01510	0.71820	
-1.2843	0.00340	0.08130	
-1.0955	0.00530	0.58780	
-0.8011	0.00700	0.78890	
-1.0525	0.02420	0.58450	
-0.9692	0.03590	0.63270	
-0.9458	0.00250	0.72190	
-0.1531	0.05400	0.06700	
-0.0641	0.07700	0.06850	
0.0894	0.11950	0.07100	
0.1272	0.13950	0.07250	
0.1683	0.19700	0.07600	
0.1539	0.26500	0.08050	
0.1697	0.36400	0.08650	
0.1284	0.41200	0.08950	
Source	
Campbell A.N.; Kartzmark E.M.; Gieskes J.M.T.M.: Vapor-Liquid Equilibria, Densities and Refractives in the System Acetic Acid-Chloroform-Water at 25°C. Can.J.Chem. 41 (1963) 407-429	
Source	
Campbell A.N.; Kartzmark E.M.; Gieskes J.M.T.M.: Vapor-Liquid Equilibria, Densities and Refractives in the System Acetic Acid-Chloroform-Water at 25°C. Can.J.Chem. 41 (1963) 407-429	
