$$$Excess Volume Data Set 13993
No.	Formula	Molar Mass	CAS Registry Number	Name
1	C4H10O	74.123	60-29-7	Diethyl ether
2	H2O	18.015	7732-18-5	Water
Temperature	298.150	K
Excess Volume [cm3/mol]	x1 [mol/mol]
0.0000	0.00000
-0.0250	0.00200
-0.0540	0.00400
-0.0860	0.00600
-0.1200	0.00800
-0.1550	0.01000
-0.1890	0.01200
-0.2230	0.01400
-0.2560	0.01590
0.0000	1.00000
Source
Signer R.; Arm H.; Daeniker H.: 8. Mitteilung: Dampfdrücke, Dichten, thermodynamische Mischungsfunktionen und Brechungsindices der binären Systeme Wasser - Tetrahydrofuran und Wasser - Diäthyläther bei 25 °C. Helv.Chim.Acta 52 (1969) 2347-2351
Source
Signer R.; Arm H.; Daeniker H.: 8. Mitteilung: Dampfdrücke, Dichten, thermodynamische Mischungsfunktionen und Brechungsindices der binären Systeme Wasser - Tetrahydrofuran und Wasser - Diäthyläther bei 25 °C. Helv.Chim.Acta 52 (1969) 2347-2351
