$$$Excess Volume Data Set 33097	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	C4H8O2	88.106	141-78-6	Ethyl acetate	
2	C2H6O2	62.068	107-21-1	1,2-Ethanediol	
Temperature	313.150	K	
Excess Volume [cm3/mol]	x1 [mol/mol]	
-0.4000	0.04300	
-0.5630	0.08000	
-0.6250	0.10000	
-0.7400	0.14900	
-0.8010	0.17000	
-0.8380	0.18600	
-0.8510	0.19400	
-0.8800	0.20000	
-0.4000	0.80600	
-0.3610	0.82500	
-0.2850	0.85400	
-0.2370	0.87200	
-0.2000	0.88100	
-0.0990	0.90400	
0.0350	0.92100	
0.0820	0.94900	
0.0410	0.97200	
Source	
Thorat R.T.; Nageshwar G.D.: Ethyl Acetate-Ethylene Glycol. Indian Chem.Eng. 30 (1988) 50-54	
Source	
Thorat R.T.; Nageshwar G.D.: Ethyl Acetate-Ethylene Glycol. Indian Chem.Eng. 30 (1988) 50-54	
