$$$Excess Volume Data Set 16843	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	C5H9NO	99.133	872-50-4	N-Methyl-2-pyrrolidone	
2	C3H6O	58.080	67-64-1	Acetone	
Temperature	298.150	K	
Pressure	1.0132	bar	
Excess Volume [cm3/mol]	x1 [mol/mol]	
-0.0970	0.02390	
-0.3860	0.11760	
-0.5320	0.18320	
-0.6360	0.25360	
-0.7240	0.35530	
-0.7380	0.44800	
-0.7190	0.48820	
-0.7060	0.53230	
-0.6610	0.57910	
-0.6230	0.63100	
-0.5270	0.71080	
-0.4260	0.77300	
-0.2430	0.88040	
-0.1860	0.91180	
Source	
Domanska U.; Lachwa J.; Letcher T.M.: Densities, Excess Molar Volumes, and Excess Molar Enthalpies of (N-Methyl-2-pyrrolidinone + Ketone) at T = 298.15 K. J.Chem.Eng.Data 47 (2002) 1446-1452	
Source	
Domanska U.; Lachwa J.; Letcher T.M.: Densities, Excess Molar Volumes, and Excess Molar Enthalpies of (N-Methyl-2-pyrrolidinone + Ketone) at T = 298.15 K. J.Chem.Eng.Data 47 (2002) 1446-1452	
