$$$Excess Volume Data Set 3146	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	C4H8O	72.107	109-99-9	Tetrahydrofuran	
2	C2H3N	41.053	75-05-8	Acetonitrile	
Temperature	298.150	K	
Excess Volume [cm3/mol]	x1 [mol/mol]	
-0.0173	0.02340	
-0.0202	0.03810	
-0.0437	0.08070	
-0.0533	0.14880	
-0.0760	0.21230	
-0.1006	0.26060	
-0.1097	0.27420	
-0.1069	0.27640	
-0.1044	0.30380	
-0.1240	0.36490	
-0.1404	0.43870	
-0.1477	0.48880	
-0.1505	0.51670	
-0.1635	0.60390	
-0.1552	0.60610	
-0.1491	0.69270	
-0.1541	0.70010	
-0.1319	0.79440	
-0.0825	0.88890	
-0.0370	0.95430	
-0.0189	0.97220	
Source	
Letcher T.M.; Domanska U.: Excess volumes of (acetonitrile + an ether) at the temperature 298.15 K. J.Chem.Thermodyn. 26 (1994) 113-119	
Source	
Letcher T.M.; Domanska U.: Excess volumes of (acetonitrile + an ether) at the temperature 298.15 K. J.Chem.Thermodyn. 26 (1994) 113-119	
