$$$Heat Capacity Data Set 2877
No.	Formula	Molar Mass	CAS Registry Number	Name
1	C6H6	78.114	71-43-2	Benzene
2	CHCl3	119.377	67-66-3	Chloroform
Temperature	279.15	K
Heat Capacity [J/mol*K]	x1 [mol/mol]
116.3780	0.00000
119.0260	0.20000
123.0990	0.40000
125.5980	0.50000
125.8920	0.60000
125.0290	0.80000
121.9060	1.00000
Source
Schulze A.: Über das Gleichgewicht in kondensierten Systemen. Z.Phys.Chem.(Leipzig) 97 (1921) 388-416
Source
Schulze A.: Über das Gleichgewicht in kondensierten Systemen. Z.Phys.Chem.(Leipzig) 97 (1921) 388-416
