$$$Heat Capacity Data Set 2259	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	C4H8O2S	120.172	126-33-0	Sulfolane	
2	C2H6O	46.069	64-17-5	Ethanol	
Temperature	303.15	K	
Heat Capacity [J/mol*K]	x1 [mol/mol]	
112.1310	0.00000	
112.1310	0.05100	
125.5200	0.09900	
135.9800	0.24700	
138.9090	0.33700	
146.0220	0.45200	
151.8790	0.60400	
146.8580	0.79800	
150.2060	0.85000	
148.1140	0.90500	
156.9000	1.00000	
Source	
Tommila E.; Lindell E.; Virtalaine M.-L.; Laakso R.: Densities, Viscosities, Surface Tensions, Dielectric Constants, Vapour Pressures, Activities, and Heats of Mixing of Sulpholane-Water, Sulpholane-Methanol, and Sulpholane-Ethanol Mixtures. Suom.Kemistil. 42 (1969) 95-104	
Source	
Tommila E.; Lindell E.; Virtalaine M.-L.; Laakso R.: Densities, Viscosities, Surface Tensions, Dielectric Constants, Vapour Pressures, Activities, and Heats of Mixing of Sulpholane-Water, Sulpholane-Methanol, and Sulpholane-Ethanol Mixtures. Suom.Kemistil. 42 (1969) 95-104	
