$$$Heat Capacity Data Set 2258	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	C4H8O2S	120.172	126-33-0	Sulfolane	
2	CH4O	32.042	67-56-1	Methanol	
Temperature	303.15	K	
Heat Capacity [J/mol*K]	x1 [mol/mol]	
80.3330	0.00000	
80.3330	0.03200	
103.7630	0.20100	
110.4580	0.30300	
115.8970	0.39700	
157.7370	0.56300	
147.6950	0.59900	
152.7160	0.78800	
151.0420	0.90000	
156.9000	1.00000	
Source	
Tommila E.; Lindell E.; Virtalaine M.-L.; Laakso R.: Densities, Viscosities, Surface Tensions, Dielectric Constants, Vapour Pressures, Activities, and Heats of Mixing of Sulpholane-Water, Sulpholane-Methanol, and Sulpholane-Ethanol Mixtures. Suom.Kemistil. 42 (1969) 95-104	
Source	
Tommila E.; Lindell E.; Virtalaine M.-L.; Laakso R.: Densities, Viscosities, Surface Tensions, Dielectric Constants, Vapour Pressures, Activities, and Heats of Mixing of Sulpholane-Water, Sulpholane-Methanol, and Sulpholane-Ethanol Mixtures. Suom.Kemistil. 42 (1969) 95-104	
