Formula	Molar Mass	CAS Registry Number	Name
CHCl3	119.377	67-66-3	Chloroform
$$$Compressibility (isentropic)
T [K]	Compressibility (isentropic) [/kPa]	State	Reference
293.15	6.70000019909E-007	Liquid	1
Number	Source
1	Nath J.; Dixit A.P.: Ultrasonic Velocities in, and Adiabatic Compressibilities and Excess Volumes for, Binary Liquid Mixtures of Acetone with Tetrachloroethylene, Trichloroethylene, Methylene Chloride, 1,2-Dichloroethane, and Cyclohexane. J.Chem.Eng.Data 29 (1984) 313-316
$$$Critical Data
T [K]	P [kPa]	State	Reference
531.95		Critical Point	3
535.70	5532.000	Critical Point	2
536.05	5451.000	Critical Point	2
536.35		Critical Point	1
538.60		Critical Point	4
538.90		Critical Point	5
Number	Source
1	Campbell A.N.; Musbally G.M.: (1) Aceton - Chloroform, (2) Aceton - Carbon Tetrachloride, (3) Benzene-Carbon Tetrachloride. Can.J.Chem. 48 (1970) 3173-3184
2	Kuenen J.P.; Robson W.G.: Observations on Mixtures with Maximum or Minimum Vapour-Pressure. London Edinb.Dub.Philos.Mag.J.Sci. 4 (1902) 116-132
3	Pictet R.: Utilization of the critical temperature of liquids as a measure of their purity. (Fr). C.R.Hebd.Seanc.Acad.Sci.Paris 120 (1895) 43-45
4	Rätzsch M.: Kritische Temperaturen binärer Systeme. Z.Phys.Chem.(Leipzig) 243 (1970) 212-220
5	Rätzsch M.T.; Strauch G.: Gas-flüssig kritische Temperaturen binärer Gemische. Z.Phys.Chem.(Leipzig) 249 (1972) 243-252
$$$Density
T [K]	Density [kg/m3]	State	Reference
273.15	1526.100	Liquid	4
293.15	1480.300	Liquid	6
293.15	1487.150	Liquid	3
293.15	1488.600	Liquid	2
293.15	1488.900	Liquid	1
293.15	1489.000	Liquid	5
298.15	1477.750	Liquid	3
303.15	1474.000	Liquid	2
308.15	1458.600	Liquid	3
308.15	1460.300	Liquid	1
313.15	1459.000	Liquid	2
323.15	1429.530	Liquid	3
323.15	1444.800	Liquid	2
Number	Source
1	Levichev S.A.: Oberflächenspannung, Dichte und Exzessvolumina in binären und ternären Lösungen. Fiziko-chimiceskie Svojstva Rastvorov (J.80)  (1964) 219-226
