Formula	Molar Mass	CAS Registry Number	Name	
ClK	74.551	7447-40-7	Potassium chloride	
$$$Density	
T [K]	Density [kg/m3]	State	Reference	
1044.15	1519.000	Liquid	4	
1045.15	1515.000	Liquid	4	
1058.15	1517.000	Liquid	3	
1073.15	1494.000	Liquid	6	
1073.15	1495.000	Liquid	5	
1101.00	1471.000	Liquid	1	
1106.15	1479.000	Liquid	4	
1110.15	1485.000	Liquid	3	
1112.00	1470.700	Liquid	1	
1113.15	1477.000	Liquid	4	
1123.15	1465.000	Liquid	5	
1151.15	1461.000	Liquid	3	
1173.15	1434.000	Liquid	5	
1173.15	1441.000	Liquid	4	
1173.15	1450.000	Liquid	2	
1174.15	1439.000	Liquid	4	
1184.00	1427.700	Liquid	1	
1197.00	1422.200	Liquid	1	
1248.15	1400.000	Liquid	4	
1250.15	1398.000	Liquid	4	
1273.15	1391.000	Liquid	2	
1294.00	1368.800	Liquid	1	
1317.00	1364.000	Liquid	1	
1373.15	1332.000	Liquid	2	
1410.00	1303.000	Liquid	1	
1420.00	1297.000	Liquid	1	
1473.15	1273.000	Liquid	2	
1507.00	1264.000	Liquid	1	
1607.00	1202.000	Liquid	1	
Number	Source	
1	Kirshenbaum A.D.; Cahill J.A.; McGonigal P.J.; Grosse A.V.: The Density of Liquid NaCl and KCl and an Estimate of Their Critical Constants Togesther with Those of the Other Alkali Halides. J.Inorg.Nucl.Chem. 24 (1962) 1287-1296	
2	Burlakova V.M.; Bukhalova G.A.: Dichte und Molarvolumen von Schmelzen der Systeme Me(I)Cl - SrCl2. Zh.Prikl.Khim. 48 (1975) 2448-2450	
3	Jaeger F.M.: Über die Temperaturabhängigkeit der molekularen freien Oberflächenenergie von Flüssigkeiten im Temperaturbereich von -80°C bis +1650°C. Z.Anorg.Allg.Chem. 101 (1917) 1-214	
4	Mashovets V.P.; Lundina Z.F.: Dichte von einigen geschmolzenen Elektroliten. Sb.Tr.Vses.Konf.Nevod.Rast. 1 (1935) 191-212	
