Formula	Molar Mass	CAS Registry Number	Name
C8H10	106.167	108-38-3	m-Xylene
$$$Compressibility (isentropic)
T [K]	P [kPa]	Compressibility (isentropic) [/kPa]	State	Reference
298.15		6.67060021442E-007	Liquid	3
303.15		6.88999989507E-007	Liquid	1
303.15	100.000	6.87300030222E-007	Liquid	2
303.15	10000.000	6.33199988442E-007	Liquid	2
303.15	20000.000	5.887000043E-007	Liquid	2
303.15	30000.000	5.4890000456E-007	Liquid	2
303.15	40000.000	5.15300030202E-007	Liquid	2
303.15	50000.000	4.86399983401E-007	Liquid	2
303.15	60000.000	4.6290000455E-007	Liquid	2
303.15	70000.000	4.41899999259E-007	Liquid	2
303.15	80000.000	4.20600002826E-007	Liquid	2
303.15	90000.000	4.02500006658E-007	Liquid	2
303.15	100000.000	3.86500005334E-007	Liquid	2
303.15	110000.000	3.7160000943E-007	Liquid	2
303.15	120000.000	3.57999994094E-007	Liquid	2
303.15	130000.000	3.47400003875E-007	Liquid	2
303.15	140000.000	3.35700008236E-007	Liquid	2
303.15	150000.000	3.25200005591E-007	Liquid	2
303.15	160000.000	3.16300003078E-007	Liquid	2
303.15	170000.000	3.0839998999E-007	Liquid	2
303.15	180000.000	3.0040001775E-007	Liquid	2
303.15	190000.000	2.92500004662E-007	Liquid	2
303.15	200000.000	2.84799995143E-007	Liquid	2
Number	Source
1	Rao D.N.; Krishnaiah A.; Naidu P.R.: Excess Thermodynamic Properties of Liquid (Ethylenediamine + an Aromatic Hydrocarbon).. J.Chem.Thermodyn. 13 (1981) 677-682
2	Takagi T.: Ultrasonic Speeds and Thermodynamics of (Benzene + an Isomeric Xylene) under High Pressures. J.Chem.Thermodyn. 13 (1981) 291-299
3	Tardajos G.; Diaz Pena M.; Aicart E.: Speed of sound in pure liquids by a pulse-echo-overlap method. J.Chem.Thermodyn. 18 (1986) 683-689
$$$Critical Data
T [K]	P [kPa]	State	Reference
616.75		Critical Point	4
617.00	3541.000	Critical Point	6
617.05	3541.200	Critical Point	2
617.45	3236.190	Critical Point	5
618.75	3511.000	Critical Point	3
619.15		Critical Point	1
Number	Source
1	Akhundov T.S.; Asadullaeva N.N.: Experimentelle Untersuchung der spezifischen Volumina von m-Xylol nahe am kritischen Punkt. Izv.Vyssh.Uchebn.Zaved.Neft Gaz  (1968) 83-86
2	Ambrose D.: Vapour pressure of some aromatic hydrocarbons.. J.Chem.Thermodyn. 19 (1987) 1007-1008
3	Altschul M.: Critical properties of several organic compounds. (Ger). Z.Phys.Chem.(Leipzig) 11 (1893) 577-597
4	Simon M.: Methods and instruments employed at the Bureau of physisochemical standards. XV. Critical constants and straight-line diameters of 10 hydrocarbons. (Fr). Bull.Soc.Chim.Belg. 66 (1957) 375-381
5	Glaser F.; Rüland H.: Untersuchungen über Dampfdruckkurven und kritische Daten einiger technisch wichtiger organischer Substanzen. Chem.Ing.Tech. CIT 29 (1957) 772-775
6	Tsonopoulos C.; Ambrose D.: 3. Aromatic Hydrocarbons.. J.Chem.Eng.Data 40 (1995) 547-558
$$$Density
T [K]	P [kPa]	Density [kg/m3]	State	Reference
288.15		868.400	Liquid	1
293.15		864.200	Liquid	1
298.15		860.200	Liquid	1
303.15		855.300	Liquid	1
308.15		852.100	Liquid	1
613.16	3396.200	366.520	Liquid	2
613.16	3399.200	377.920	Liquid	2
613.16	3463.100	404.190	Liquid	2
613.16	3705.700	431.500	Liquid	2
613.16	4518.800	469.270	Liquid	2
613.16	5466.400	492.540	Liquid	2
613.16	6520.300	510.310	Liquid	2
613.16	8055.100	529.340	Liquid	2
T [K]	P [kPa]	Density [kg/m3]	State	Reference
613.16	2518.900	79.550	Vapor	2
613.16	2937.700	107.650	Vapor	2
613.16	3160.100	131.070	Vapor	2
613.16	3272.900	149.770	Vapor	2
613.16	3341.400	168.490	Vapor	2
613.16	3378.900	192.250	Vapor	2
613.16	3382.000	238.540	Vapor	2
613.16	3387.000	291.040	Vapor	2
T [K]	P [kPa]	Density [kg/m3]	State	Reference
617.16	2942.300	103.260	Supercritical	2
617.16	3125.800	118.870	Supercritical	2
617.16	3312.700	141.260	Supercritical	2
617.16	3453.800	170.220	Supercritical	2
617.16	3526.200	198.820	Supercritical	2
617.16	3548.300	224.690	Supercritical	2
617.16	3554.700	256.410	Supercritical	2
617.16	3559.800	286.480	Supercritical	2
617.16	3563.300	323.100	Supercritical	2
617.16	3583.700	356.600	Supercritical	2
617.16	3618.800	374.670	Supercritical	2
617.16	3720.900	398.250	Supercritical	2
617.16	3917.100	420.690	Supercritical	2
617.16	4108.800	434.400	Supercritical	2
617.16	4479.800	452.520	Supercritical	2
618.18	3427.100	157.540	Supercritical	2
618.18	3556.100	197.120	Supercritical	2
618.18	3603.300	269.420	Supercritical	2
618.18	3609.800	305.890	Supercritical	2
618.18	3667.700	367.430	Supercritical	2
618.18	3705.900	380.110	Supercritical	2
618.18	3843.900	404.190	Supercritical	2
618.19	2934.200	101.680	Supercritical	2
618.19	3230.800	127.870	Supercritical	2
618.19	3395.400	150.820	Supercritical	2
618.19	3483.300	170.040	Supercritical	2
618.19	3581.400	214.810	Supercritical	2
618.19	3604.100	260.340	Supercritical	2
618.19	3609.300	288.440	Supercritical	2
618.19	3616.200	314.090	Supercritical	2
618.19	3636.800	346.820	Supercritical	2
618.19	3656.200	360.860	Supercritical	2
618.19	3765.400	392.250	Supercritical	2
618.19	3929.600	413.470	Supercritical	2
618.19	4130.900	429.650	Supercritical	2
618.19	4477.800	447.880	Supercritical	2
Number	Source
1	Moumouzias G.; Ritzoulis C.; Ritzoulis G.: A Study in Mixtures of gamma-Butyrolactone with o-Xylene and m-Xylene: Densities and Viscosities. J.Chem.Eng.Data 44 (1999) 1187-1191
2	Akhundov T.S.; Asadullaeva N.N.: Experimentelle Untersuchung der spezifischen Volumina von m-Xylol nahe am kritischen Punkt. Izv.Vyssh.Uchebn.Zaved.Neft Gaz  (1968) 83-86
$$$Dielectric Constant
T [K]	Dielectric Constant [-]	State	Reference
273.15	2.40400	Liquid	2
283.15	2.38100	Liquid	2
293.15	2.34000	Liquid	4
293.15	2.35900	Liquid	2
293.15	2.37100	Liquid	3
298.15	2.35000	Liquid	6
298.15	2.36000	Liquid	1
303.15	2.33700	Liquid	2
308.15	2.31000	Liquid	1
308.15	2.34000	Liquid	6
313.15	2.31200	Liquid	2
323.15	2.28900	Liquid	2
412.45	2.15000	Liquid	5
Number	Source
1	George J.; Sastry N.V.: Densities, Excess Molar Volumes, Viscosities, Speeds of Sound, Excess Isentropic Compressibilities, and Relative Permittivities for CmH2m+1(OCH2CH2)nOH (m= 1 or 2 or 4 and n=1) + Benzene, + Toluene, + (o-, m-, and p-) Xylenes, + Ethylbenzene, and + Cyclohexane. J.Chem.Eng.Data 48 (2003) 977-989
2	Watanabe A.; Moroto S.: Temperature Coefficient of Dielectric Constant for Organic Liquid with Branched-Chain. Nagoya-Kogyo-Gijutsu-Shikensho-hokoku 26 (1977) 264-273
3	Gemant A.: Electrical Properties of Hydrocarbons. Physical Chemistry of the Hydrocarbons. Volume 1  (1950) 215-240
4	Brandt H.; Roeck H.: Untersuchungen an Standard-Testgemischen. Chem.Ing.Tech. CIT 29 (1957) 397-402
5	Grimm F.V.; Patrick W.A.: The Dielectric Constants of Organic Liquids at the Boiling Point. J.Am.Chem.Soc. 45 (1923) 2794-2802
6	Plucknett W.K.; Dowd R.T.: Refraction and Polarization of Binary Solutions of the Nitrotoluene Isomers with Xylene Isomers, Chloroform and Cyclohexane. J.Chem.Eng.Data 8 (1963) 207-210
$$$Dynamic Viscosity
T [K]	P [kPa]	Dynamic Viscosity [mPas]	State	Reference
473.15	102.700	0.01018	Vapor	1
473.15	282.300	0.01027	Vapor	1
523.15	102.700	0.01126	Vapor	1
523.15	525.800	0.01148	Vapor	1
573.15	102.700	0.01231	Vapor	1
573.15	1040.300	0.01283	Vapor	1
573.15	1528.400	0.01315	Vapor	1
598.15	102.700	0.01285	Vapor	1
598.15	1014.400	0.01331	Vapor	1
598.15	2049.000	0.01397	Vapor	1
598.15	2381.700	0.01439	Vapor	1
623.15	102.700	0.01337	Vapor	1
623.15	1021.500	0.01383	Vapor	1
623.15	2049.700	0.01444	Vapor	1
623.15	2965.000	0.01529	Vapor	1
623.15	3409.200	0.01621	Vapor	1
623.15	3701.200	0.02025	Vapor	1
648.15	102.700	0.01392	Vapor	1
648.15	1025.900	0.0143	Vapor	1
648.15	1974.200	0.01484	Vapor	1
648.15	2993.700	0.01573	Vapor	1
648.15	3659.300	0.01688	Vapor	1
648.15	4258.100	0.01947	Vapor	1
Number	Source
1	Abdullaev F.G.; Akhundov R.T.: Experimentelle Untersuchung der Viskosität von Ethylbenzen und o-, m-, p-Xylolen in gasförmige Phase. Izv.Vyssh.Uchebn.Zaved.Neft Gaz  (1983) 28-64
$$$Enthalpy (H-H0)/T
T [K]	P [kPa]	Enthalpy (H-H0)/T [J/(K*mol)]	State	Reference
250.00		310.61	Vapor	1
260.00		302.80	Vapor	1
280.00		289.33	Vapor	1
298.15		279.18	Vapor	1
300.00		278.19	Vapor	1
320.00		268.96	Vapor	1
320.00	101.320	268.97	Vapor	1
340.00		261.31	Vapor	1
340.00	101.320	261.33	Vapor	1
360.00		254.99	Vapor	1
360.00	101.320	255.01	Vapor	1
380.00		249.67	Vapor	1
380.00	101.320	249.69	Vapor	1
400.00		245.35	Vapor	1
400.00	101.320	245.36	Vapor	1
420.00		241.77	Vapor	1
420.00	101.320	241.79	Vapor	1
440.00		238.86	Vapor	1
440.00	101.320	238.88	Vapor	1
460.00		236.53	Vapor	1
480.00		234.62	Vapor	1
500.00		233.13	Vapor	1
520.00		232.04	Vapor	1
540.00		231.21	Vapor	1
550.00		230.88	Vapor	1
Number	Source
1	Chirico R.D.; Knipmeyer S.E.; Nguyen A.; Reynolds J.W.; Steele W.V.: Thermodynamic equilibria in xylene isomerization. 2. The thermodynamic properties of m-xylene. J.Chem.Eng.Data 42 (1997) 475-487
$$$Entropy
T [K]	P [kPa]	Molar Entropy [J/(mol*K)]	State	Reference
298.00		353.88	Vapor	3
298.00		357.69	Vapor	1
298.00		357.84	Vapor	4
298.00		358.50	Vapor	2
320.00	101.320	367.00	Vapor	4
340.00	101.320	375.40	Vapor	4
360.00	101.320	383.88	Vapor	4
380.00	101.320	392.28	Vapor	4
400.00	101.320	400.59	Vapor	4
420.00	101.320	408.91	Vapor	4
440.00	101.320	417.22	Vapor	4
Number	Source
1	Taylor W.J.; Wagman D.D.; Williams M.G.; Pitzer K.S.; Rossini F.D.: Heats, equilibrium constants, and free energies of formation of the alkylbenzenes.. J.Res. NBS 37 (1946) 95-122
2	Chao J.; Hall K.R.; Yao J.-M.: Chemical Thermodynamic Properties of Toluene, o-, m- and p-Xylenes. Thermochim.Acta 72 (1984) 323-334
3	Pitzer K.S.; Scott D.W.: The Thermodynamics and Molecular Structure of Benzene and Its Methyl Derivatives. J.Am.Chem.Soc. 65 (1943) 803-829
4	Chirico R.D.; Knipmeyer S.E.; Nguyen A.; Reynolds J.W.; Steele W.V.: Thermodynamic equilibria in xylene isomerization. 2. The thermodynamic properties of m-xylene. J.Chem.Eng.Data 42 (1997) 475-487
$$$Entropy (S-S0)
T [K]	Molar Entropy [J/(mol*K)]	State	Reference
5.00	0.07483	Solid	1
10.00	0.6818	Solid	1
15.00	2.3863	Solid	1
20.00	5.296	Solid	1
30.00	13.677	Solid	1
40.00	23.69	Solid	1
50.00	33.865	Solid	1
60.00	43.54	Solid	1
70.00	52.56	Solid	1
80.00	60.97	Solid	1
90.00	68.85	Solid	1
100.00	76.31	Solid	1
120.00	90.24	Solid	1
140.00	103.18	Solid	1
160.00	115.45	Solid	1
180.00	127.21	Solid	1
200.00	138.61	Solid	1
220.00	149.74	Solid	1
225.30	152.65	Solid	1
225.30	204.33	Liquid	1
240.00	214.61	Liquid	1
250.00	337.49	Ideal Gas	1
260.00	227.98	Liquid	1
260.00	341.73	Ideal Gas	1
280.00	240.77	Liquid	1
280.00	350.21	Ideal Gas	1
298.15	251.99	Liquid	1
298.15	357.86	Ideal Gas	1
300.00	253.11	Liquid	1
300.00	358.61	Ideal Gas	1
320.00	265.10	Liquid	1
320.00	367.00	Ideal Gas	1
340.00	276.79	Liquid	1
340.00	375.40	Ideal Gas	1
360.00	288.24	Liquid	1
360.00	383.88	Ideal Gas	1
380.00	299.49	Liquid	1
380.00	392.28	Ideal Gas	1
400.00	310.56	Liquid	1
400.00	400.59	Ideal Gas	1
420.00	321.48	Liquid	1
420.00	408.91	Ideal Gas	1
440.00	332.25	Liquid	1
440.00	417.22	Ideal Gas	1
460.00	342.97	Liquid	1
460.00	425.45	Ideal Gas	1
480.00	353.53	Liquid	1
480.00	433.69	Ideal Gas	1
500.00	364.09	Liquid	1
500.00	441.83	Ideal Gas	1
520.00	374.65	Liquid	1
520.00	449.90	Ideal Gas	1
540.00	385.21	Liquid	1
540.00	457.96	Ideal Gas	1
550.00	390.45	Liquid	1
550.00	461.95	Ideal Gas	1
Number	Source
1	Chirico R.D.; Knipmeyer S.E.; Nguyen A.; Reynolds J.W.; Steele W.V.: Thermodynamic equilibria in xylene isomerization. 2. The thermodynamic properties of m-xylene. J.Chem.Eng.Data 42 (1997) 475-487
$$$Entropy of Formation
T [K]	Molar Entropy [J/(mol*K)]	State	Reference
250.00	-325.35	Ideal Gas	1
260.00	-328.84	Ideal Gas	1
280.00	-335.41	Ideal Gas	1
298.15	-340.98	Ideal Gas	1
300.00	-341.48	Ideal Gas	1
320.00	-346.97	Ideal Gas	1
340.00	-352.04	Ideal Gas	1
360.00	-356.61	Ideal Gas	1
380.00	-360.77	Ideal Gas	1
400.00	-364.67	Ideal Gas	1
420.00	-368.17	Ideal Gas	1
440.00	-371.41	Ideal Gas	1
460.00	-374.40	Ideal Gas	1
480.00	-377.06	Ideal Gas	1
500.00	-379.64	Ideal Gas	1
520.00	-381.89	Ideal Gas	1
540.00	-384.05	Ideal Gas	1
550.00	-385.05	Ideal Gas	1
Number	Source
1	Chirico R.D.; Knipmeyer S.E.; Nguyen A.; Reynolds J.W.; Steele W.V.: Thermodynamic equilibria in xylene isomerization. 2. The thermodynamic properties of m-xylene. J.Chem.Eng.Data 42 (1997) 475-487
$$$Flash Point
T [K]	P [kPa]	State	Reference
		Liquid	5
299.15		Liquid	1
