$$$Solid-Liquid Equilibrium Data Set 3835
No.	Formula	Molar Mass	CAS Registry Number	Name
1	C2H6O	46.069	64-17-5	Ethanol
2	C6H6	78.114	71-43-2	Benzene
3	C10H8	128.174	91-20-3	Naphthalene
T [K]	xL1 [mol/mol]	xL2 [mol/mol]
324.35	0.56000	0.14000
314.95	0.42000	0.28000
306.75	0.28000	0.42000
300.15	0.14000	0.56000
330.25	0.48000	0.12000
322.45	0.36000	0.24000
316.65	0.24000	0.36000
311.15	0.12000	0.48000
334.55	0.40000	0.10000
329.05	0.30000	0.20000
324.25	0.20000	0.30000
320.15	0.10000	0.40000
338.15	0.32000	0.08000
334.25	0.24000	0.16000
330.85	0.16000	0.24000
328.35	0.08000	0.32000
340.25	0.24000	0.06000
338.15	0.18000	0.12000
336.65	0.12000	0.18000
335.25	0.06000	0.24000
Source
Yoshida T.; Yamada I.; Machii H.: Solid Liquid Equilibria with Crystals of Single Component. Kagaku Kogaku 32 (1968) 1091-1094
