$$$Solid-Liquid Equilibrium Data Set 5571
No.	Formula	Molar Mass	CAS Registry Number	Name
1	C6H14	86.177	110-54-3	Hexane
2	C2H6O	46.069	64-17-5	Ethanol
3	C10H8	128.174	91-20-3	Naphthalene
T [K]	xL1 [mol/mol]	xL2 [mol/mol]
290.10	0.16956	0.78894
292.90	0.16867	0.78483
296.60	0.16747	0.77923
300.20	0.16599	0.77231
304.50	0.16379	0.76211
307.55	0.16137	0.75083
316.65	0.15390	0.71610
320.65	0.14877	0.69223
279.70	0.478250.47825
283.70	0.474600.47460
287.60	0.470100.47010
291.50	0.464900.46490
294.80	0.459700.45970
298.55	0.453150.45315
302.35	0.445000.44500
307.15	0.433000.43300
312.95	0.413500.41350
316.25	0.395500.39550
319.65	0.375000.37500
323.45	0.349000.34900
327.25	0.312000.31200
331.70	0.265500.26550
280.75	0.66243	0.28417
284.80	0.65578	0.28132
289.00	0.64738	0.27772
294.35	0.63514	0.27246
299.15	0.62072	0.26628
304.70	0.60463	0.25937
308.35	0.58363	0.25037
312.35	0.55914	0.23986
317.05	0.52555	0.22545
320.25	0.49476	0.21224
323.40	0.46047	0.19753
326.85	0.41848	0.17952
334.00	0.32051	0.13749
295.90	0.76655	0.12645
300.30	0.74852	0.12348
305.20	0.72277	0.11923
310.60	0.68672	0.11328
319.05	0.60603	0.09997
Source
Domanska U.; Rolinska J.: Part VI: Solubility of Naphthalene in Binary Solvent Mixtures. Manuscript  (1994) 1-36
