$$$Solid-Liquid Equilibrium Data Set 12710
No.	Formula	Molar Mass	CAS Registry Number	Name
1	C5H9NO	99.133	872-50-4	N-Methyl-2-pyrrolidone
2	C4H10O	74.123	71-36-3	1-Butanol
Pressure	1.0132	bar
T [K]	xL1 [mol/mol]
221.03	0.53360
221.31	0.53900
221.93	0.54940
223.01	0.56090
224.45	0.57590
225.34	0.58720
226.22	0.59750
227.15	0.61090
228.50	0.62580
229.16	0.63960
230.03	0.65460
230.72	0.66440
232.18	0.67870
233.17	0.68560
233.90	0.70200
234.82	0.71870
236.09	0.73720
236.42	0.74540
237.00	0.75200
238.21	0.76140
238.30	0.77040
239.17	0.78180
239.84	0.79430
240.34	0.80450
240.83	0.81400
241.67	0.82650
243.00	0.85060
243.88	0.86380
244.73	0.87650
245.16	0.88820
246.05	0.90140
246.83	0.91470
247.46	0.92810
248.30	0.94780
249.25	0.96420
249.68	1.00000
Source
Domanska U.; Lachwa J.: (Solid + liquid) phase equilibria of binary mixtures containing N-methyl-2-pyrrolidonone and alcohol at atmospheric pressure. J.Chem.Thermodyn. 35 (2003) 1215-1224
