$$$Solid-Liquid Equilibrium Data Set 8279	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	C5H9NO	99.133	872-50-4	N-Methyl-2-pyrrolidone	
2	C4H8O	72.107	109-99-9	Tetrahydrofuran	
T [K]	xL1 [mol/mol]	
203.80	0.18330	
206.45	0.21150	
208.99	0.23390	
211.20	0.25920	
213.07	0.28320	
215.05	0.30590	
216.49	0.32720	
217.83	0.34680	
219.53	0.37620	
220.83	0.39200	
223.05	0.43500	
224.86	0.46350	
226.94	0.49820	
228.25	0.52170	
230.47	0.56820	
231.35	0.59570	
232.83	0.62280	
234.03	0.65430	
235.78	0.68430	
237.20	0.71660	
239.45	0.75920	
240.73	0.78830	
241.94	0.81010	
244.61	0.86520	
246.07	0.92570	
249.68	1.00000	
Source	
Domanska U.; Lachwa J.: (Solid + Liquid) Phase Equilibria of Binary Mixtures Containing n-Methyl-2-Pyrrolidinone and Ethers at Atmospheric Pressure. Fluid Phase Equilib. 227 (2005) 135-143	
