$$$Solid-Liquid Equilibrium Data Set 28556
No.	Formula	Molar Mass	CAS Registry Number	Name
1	C10H8	128.174	91-20-3	Naphthalene
2	C5H9NO	99.133	872-50-4	N-Methyl-2-pyrrolidone
T [K]	xL1 [mol/mol]
278.18	0.26850
283.25	0.28930
288.17	0.30730
293.20	0.33580
298.16	0.37850
303.21	0.41010
308.17	0.43830
313.16	0.48640
318.21	0.53460
323.27	0.57670
Source
Li Q.-S.; Yi Z.-M.; Su M.-G.; Sun X.-F.: Solubility of Naphthalene in Isobutyl Acetate, n-Butyric Acid, Ethyl Acetate, N-Methyl Pyrrolidone, N,N-Dimethylformamide, and Tetrahydrofuran. J.Chem.Eng.Data 53 (2008) 2701-2703
