$$$Solid-Liquid Equilibrium Data Set 15302	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	C10H8	128.174	91-20-3	Naphthalene	
2	H2O	18.015	7732-18-5	Water	
3	C2H3N	41.053	75-05-8	Acetonitrile	
4	CH4O	32.042	67-56-1	Methanol	
T [K]	xL1 [mol/mol]	xL2 [mol/mol]	xL3 [mol/mol]	
298.15	3.62365995E-6	1.00000	0.00000	
298.15	7.839060345E-6	0.95359	0.00000	
298.15	3.47464993E-5	0.90129	0.00000	
298.15	0.0001410200057	0.84185	0.00000	
298.15	0.0004462109937	0.77367	0.00000	
298.15	0.001127	0.69465	0.00000	
298.15	0.004037	0.60110	0.00000	
298.15	0.008561	0.49036	0.00000	
298.15	0.01520	0.35788	0.00000	
298.15	0.028366	0.19663	0.00000	
298.15	0.05533	0.00000	0.00000	
298.15	6.737629974E-6	0.96295	0.037046	
298.15	1.719699867E-5	0.91071	0.039416	
298.15	0.00018795699	0.85120	0.04210	
298.15	0.0002370309958	0.78310	0.04519	
298.15	0.001041249954	0.70369	0.04873	
298.15	0.002646530047	0.61038	0.05283	
298.15	0.006029	0.49916	0.05761	
298.15	0.012315	0.36501	0.06319	
298.15	0.02469	0.20110	0.06963	
298.15	0.04953	0.00000	0.07675	
298.15	1.288230033E-5	0.92032	0.07966	
298.15	4.159269884E-5	0.86093	0.08517	
298.15	0.000173812994	0.79264	0.09148	
298.15	0.000747	0.71311	0.09876	
298.15	0.001443249988	0.61981	0.10730	
298.15	0.004244	0.50785	0.11723	
298.15	0.010204	0.37209	0.12883	
298.15	0.021013	0.20575	0.14248	
298.15	0.05167	0.00000	0.15651	
298.15	2.013489939E-5	0.87077	0.12921	
298.15	9.449130448E-5	0.80242	0.13892	
298.15	0.0004777069844	0.72276	0.15015	
298.15	0.001398249995	0.62879	0.16329	
298.15	0.003933	0.51605	0.17868	
298.15	0.009054	0.37906	0.19687	
298.15	0.021417	0.20971	0.21783	
298.15	0.04428	0.00000	0.24187	
298.15	5.257399971E-5	0.81242	0.18753	
298.15	0.0002163089957	0.73267	0.20294	
298.15	0.001052	0.63822	0.22098	
298.15	0.00325040007	0.52472	0.24224	
298.15	0.007853	0.38629	0.26750	
298.15	0.019954	0.21423	0.29671	
298.15	0.044265	0.00000	0.32988	
298.15	0.0001663329895	0.74269	0.25715	
298.15	0.0006006949698	0.64800	0.28045	
298.15	0.002566	0.53366	0.30796	
298.15	0.008368	0.39311	0.34028	
298.15	0.017377	0.21919	0.37946	
298.15	0.03964	0.00000	0.42403	
298.15	0.000519	0.65783	0.34165	
298.15	0.001765229972	0.54297	0.37600	
298.15	0.005647	0.40149	0.41704	
298.15	0.014137	0.22450	0.46640	
298.15	0.03967	0.00000	0.52100	
298.15	0.001362239942	0.55238	0.44626	
298.15	0.004575	0.40950	0.49625	
298.15	0.013484	0.22944	0.55610	
298.15	0.038845	0.00000	0.62328	
298.15	0.003793	0.41770	0.57850	
298.15	0.011225	0.23498	0.65088	
298.15	0.03186	0.00000	0.73555	
298.15	0.00956	0.24062	0.74982	
298.15	0.02987	0.00000	0.85059	
298.15	0.02449	0.00000	0.97551	
Source	
Morris K.R.: Solubility of Aromatic Compounds in Mixed Solvents. Thesis  (1988)	
