$$$Solid-Liquid Equilibrium Data Set 10143	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	C4H8O2S	120.172	126-33-0	Sulfolane	
2	C4H10O	74.123	71-36-3	1-Butanol	
Pressure	1.0132	bar	
T [K]	xL1 [mol/mol]	
261.35	0.01960	
268.96	0.03500	
273.30	0.04970	
274.70	0.06030	
277.20	0.08260	
278.16	0.09870	
278.44	0.14200	
278.37	0.21510	
278.35	0.26420	
278.12	0.38470	
278.11	0.46270	
278.04	0.55570	
278.06	0.64010	
278.38	0.72020	
281.30	0.80630	
283.01	0.84610	
286.15	0.92270	
301.60	1.00000	
Source	
Gonzales J.A.; Domanska U.: Part I. Experimental Phase Equilibria (Solid-Liquid and Liquid-Liquid) for Sulfolane + Alkan-1-ols Systems. Analysis of some Mixtures including Sulfolane in Terms of DISQUAC. Phys.Chem.Chem.Phys. (PCCP) 3 (2001) 1034-1042	
