$$$Solid-Liquid Equilibrium Data Set 6619	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	C4H8O2S	120.172	126-33-0	Sulfolane	
2	C4H8O	72.107	109-99-9	Tetrahydrofuran	
T [K]	xL1 [mol/mol]	
235.46	0.19520	
238.94	0.24210	
241.50	0.30100	
243.94	0.35100	
248.35	0.43640	
251.14	0.48010	
254.25	0.53910	
256.05	0.57660	
258.79	0.62110	
261.00	0.67060	
264.75	0.72690	
266.85	0.77750	
269.10	0.81640	
272.07	0.85090	
275.93	0.89680	
279.43	0.92780	
281.26	0.94370	
282.76	0.95990	
284.10	0.96440	
285.05	0.97280	
285.96	0.97730	
286.47	0.97870	
286.95	0.98110	
287.08	0.98300	
292.54	0.99100	
301.60	1.00000	
Source	
Domanska U.; Moollan W.C.; Letcher T.M.: Solubility of Sulfolane in Selected Organic Solvents. J.Chem.Eng.Data 41 (1996) 261-265	
