$$$Vapor-Liquid Equilibrium Data Set 22870
No.	Formula	Molar Mass	CAS Registry Number	Name
1	C6H12	84.161	592-41-6	1-Hexene
2	C6H6	78.114	71-43-2	Benzene
3	C6H12	84.161	110-82-7	Cyclohexane
Temperature	313.15	K
P [kPa]	x1 [mol/mol]	x2 [mol/mol]
44.978	1.00000	0.00000
41.005	0.70030	0.29970
40.697	0.68320	0.29230
40.317	0.66360	0.28400
39.643	0.62920	0.26920
38.967	0.59480	0.25450
38.261	0.55940	0.23930
37.565	0.52500	0.22460
36.844	0.48970	0.20950
36.104	0.45480	0.19450
35.366	0.41880	0.17910
34.642	0.38490	0.16460
33.873	0.35010	0.14970
24.655	0.000000.00000
31.861	0.30530	0.00000
31.925	0.29770	0.02490
31.976	0.29000	0.05010
32.033	0.27450	0.10070
32.041	0.25930	0.15070
32.017	0.24780	0.18840
31.925	0.22890	0.25030
31.809	0.21360	0.30040
31.649	0.19830	0.35060
31.449	0.18300	0.40050
31.211	0.16790	0.45010
30.932	0.15270	0.50010
24.398	0.00000	1.00000
33.923	0.30420	0.69580
33.787	0.29640	0.67800
33.657	0.28840	0.65960
33.393	0.27350	0.62560
33.119	0.25880	0.59180
32.801	0.24270	0.55490
32.501	0.22810	0.52150
32.173	0.21290	0.48660
31.831	0.19780	0.45220
31.468	0.18250	0.41710
31.087	0.16730	0.38230
30.688	0.15220	0.34770
24.411	0.00000	1.00000
27.151	0.00000	0.70120
28.084	0.03530	0.67650
28.664	0.05780	0.66070
29.759	0.10340	0.62870
30.917	0.15380	0.59330
31.921	0.20040	0.56070
32.980	0.25140	0.52490
33.933	0.30020	0.49070
34.881	0.35010	0.45570
35.806	0.40080	0.42020
36.682	0.45000	0.38560
37.548	0.50050	0.35020
44.950	1.00000	0.00000
39.798	0.71400	0.00000
39.667	0.69870	0.02140
39.477	0.67780	0.05070
39.110	0.64150	0.10150
38.717	0.60620	0.15100
38.292	0.57070	0.20070
37.834	0.53470	0.25110
37.340	0.49920	0.30090
36.829	0.46400	0.35020
36.274	0.42810	0.40040
35.672	0.39230	0.45060
35.048	0.35690	0.50020
24.654	0.000000.00000
27.135	0.00000	0.30030
27.786	0.02950	0.29140
28.270	0.05230	0.28450
29.327	0.10290	0.26940
30.322	0.15190	0.25470
31.283	0.20080	0.24000
32.232	0.25050	0.22510
33.199	0.30130	0.20980
34.097	0.35030	0.19510
34.994	0.40000	0.18020
35.878	0.44990	0.16520
36.761	0.50000	0.15010
Source
Chamorro C.R.; Segovia J.J.; Martin M.C.; Villamanan M.A.: Thermodynamics of Octane-Enhancing Additives in Gasolines: Vapor-Liquid Equilibrium of Ternary Mixtures Containing Di-isopropyl Ether of Cyclohexane and 1-Hexene + Benzene at 313.15 K. J.Chem.Eng.Data 47 (2002) 316-321
Source
