$$$Vapor-Liquid Equilibrium Data Set 18508
No.	Formula	Molar Mass	CAS Registry Number	Name
1	C3H6O	58.080	67-64-1	Acetone
2	C6H6	78.114	71-43-2	Benzene
3	C6H12	84.161	110-82-7	Cyclohexane
4	C3H8O	60.096	67-63-0	2-Propanol
Temperature	318.15	K
x1 [mol/mol]	x2 [mol/mol]	x3 [mol/mol]	y1 [mol/mol]	y2 [mol/mol]	y3 [mol/mol]
0.52425	0.06278	0.33023	0.63785	0.027147	0.28979
0.42740	0.09104	0.36786	0.56542	0.05093	0.31409
0.24206	0.13800	0.44662	0.39485	0.10176	0.38283
0.11800	0.16196	0.52080	0.17794	0.16064	0.46489
0.53452	0.08228	0.32744	0.66279	0.05240	0.26283
0.40680	0.11989	0.39540	0.59044	0.06913	0.30560
0.27212	0.14986	0.45384	0.49098	0.09303	0.35035
0.11647	0.19168	0.52744	0.30590	0.15561	0.40085
0.06445	0.21262	0.58929	0.12506	0.18975	0.45089
0.05047	0.19281	0.74589	0.05680	0.24635	0.58707
0.62185	0.10386	0.19591	0.71415	0.041095	0.19988
0.54661	0.14986	0.18468	0.65587	0.09752	0.21383
0.45866	0.17850	0.14068	0.58741	0.14416	0.19679
0.33285	0.20315	0.09235	0.46615	0.18758	0.13196
0.23685	0.22053	0.07939	0.34741	0.21454	0.10231
0.11333	0.21147	0.03527	0.23260	0.24597	0.06312
0.62571	0.12534	0.19209	0.74028	0.05108	0.20114
0.57169	0.15865	0.18585	0.68300	0.09187	0.20234
0.44025	0.22800	0.17235	0.59741	0.15032	0.19708
0.31165	0.29355	0.13665	0.46119	0.22339	0.18486
0.15526	0.34980	0.09254	0.29286	0.29993	0.14123
0.30871	0.29235	0.14257	0.45836	0.19190	0.19091
0.22853	0.34069	0.10975	0.37137	0.29013	0.16191
0.13251	0.35222	0.08012	0.27576	0.38497	0.14377
0.06619	0.29273	0.04332	0.15909	0.46589	0.09806
0.025206	0.17762	0.01664	0.06985	0.35315	0.05383
0.015138	0.13667	0.011193	0.04533	0.27212	0.03754
0.38313	0.26809	0.05366	0.52858	0.17863	0.17449
0.29705	0.33957	0.10695	0.43782	0.27703	0.14223
0.15361	0.37401	0.06555	0.27106	0.40749	0.10219
0.09450	0.33244	0.04295	0.16955	0.45328	0.07967
0.03753	0.20764	0.014474	0.09306	0.41861	0.03983
0.009517	0.06840	0.004379	0.05408	0.27389	0.02099
0.62594	0.14723	0.19164	0.68691	0.07870	0.21915
0.55899	0.20093	0.18651	0.65734	0.09573	0.21201
0.49110	0.29017	0.15530	0.62750	0.14257	0.18716
0.37334	0.41188	0.13215	0.52384	0.26165	0.15390
0.22092	0.55028	0.12145	0.37832	0.40003	0.13344
0.10624	0.71278	0.10461	0.16001	0.58451	0.11912
0.61529	0.06276	0.18778	0.68187	0.02992	0.23528
0.55797	0.07475	0.16013	0.65610	0.04480	0.21715
0.52295	0.09843	0.13553	0.64065	0.07621	0.18838
0.44834	0.11084	0.10288	0.60628	0.08966	0.15652
0.31809	0.12929	0.08887	0.53695	0.14804	0.13664
0.19478	0.10561	0.03713	0.44779	0.20974	0.08498
0.08305	0.05080	0.008706	0.30953	0.16648	0.05302
0.06553	0.29230	0.45220	0.15870	0.21899	0.41618
0.020023	0.33842	0.47257	0.06888	0.28312	0.43322
0.01350	0.35330	0.49751	0.02769	0.31368	0.45222
0.008276	0.38970	0.54070	0.01210	0.36480	0.47500
0.06478	0.23064	0.34219	0.05386	0.24885	0.41596
0.07455	0.20293	0.25890	0.07572	0.26270	0.35793
0.07413	0.13612	0.11783	0.09446	0.24401	0.25073
0.05443	0.06823	0.03167	0.10614	0.13456	0.10717
0.02216	0.05100	0.013109	0.09477	0.08487	0.04608
0.06379	0.38812	0.35937	0.06427	0.38809	0.38287
0.06358	0.39264	0.34565	0.07928	0.37877	0.36235
0.02061	0.39743	0.31557	0.06756	0.34969	0.32284
0.010754	0.54265	0.34137	0.014396	0.46119	0.31700
0.006871	0.58439	0.38218	0.009538	0.59158	0.34885
0.13021	0.47829	0.26691	0.29893	0.39075	0.19192
0.06452	0.52274	0.29441	0.14908	0.43389	0.26557
0.025526	0.59432	0.30226	0.07435	0.46743	0.30696
0.002742	0.69522	0.29144	0.012184	0.61801	0.30832
0.61013	0.24682	0.07585	0.70166	0.16788	0.09426
0.53446	0.31263	0.06370	0.65070	0.20721	0.08199
0.41302	0.42484	0.05101	0.57221	0.28446	0.06153
0.24501	0.57729	0.03281	0.37440	0.44730	0.040626
0.17224	0.66906	0.028425	0.24532	0.56071	0.03436
0.12869	0.27953	0.34915	0.20929	0.22641	0.37536
0.10221	0.29458	0.33614	0.18056	0.25729	0.35131
0.06588	0.30612	0.33661	0.13177	0.29390	0.35150
0.009908	0.29924	0.26837	0.03870	0.34524	0.36052
0.00481	0.25748	0.21245	0.016702	0.36010	0.33515
0.004432	0.13345	0.07723	0.007498	0.34006	0.26477
Source
Vitman T.A.; Zharov V.T.: Dampf-Flüssig-Gleichgewicht im System Aceton-Benzol-Cyclohexan-Isopropanol. Vestn.Leningr.Univ.Fiz.Khim.  (1970) 107-110
Source
