$$$Vapor-Liquid Equilibrium Data Set 20980
No.	Formula	Molar Mass	CAS Registry Number	Name
1	C3H6O	58.080	67-64-1	Acetone
2	CHCl3	119.377	67-66-3	Chloroform
3	CH4O	32.042	67-56-1	Methanol
4	C6H6	78.114	71-43-2	Benzene
Pressure	101.30	kPa
T [K]	x1 [mol/mol]	x2 [mol/mol]	x3 [mol/mol]	y1 [mol/mol]	y2 [mol/mol]	y3 [mol/mol]
329.26	1.00000	0.000000.000001.00000	0.000000.00000
334.33	0.000001.00000	0.000000.000001.00000	0.00000
337.70	0.00000	0.00000	1.000000.00000	0.00000	1.00000
353.24	0.000000.000000.000000.000000.000000.00000
331.55	0.02700	0.01900	0.77300	0.03600	0.02700	0.65800
330.97	0.04100	0.02900	0.64400	0.04500	0.03400	0.59900
330.92	0.05100	0.03400	0.58700	0.05400	0.03600	0.58000
330.91	0.05900	0.03700	0.56500	0.06200	0.03800	0.57100
330.89	0.07300	0.04100	0.55100	0.07600	0.04100	0.56300
330.86	0.08400	0.04000	0.56800	0.08800	0.04100	0.55800
330.85	0.09400	0.04200	0.55400	0.10000	0.04200	0.55600
330.83	0.10200	0.04000	0.554000.10800	0.04000	0.55400
330.80	0.11700	0.04100	0.54300	0.12400	0.03900	0.54600
330.77	0.12700	0.04000	0.55100	0.13600	0.03900	0.54500
330.71	0.13800	0.04000	0.54300	0.14800	0.03800	0.54000
330.70	0.15400	0.03900	0.53900	0.16400	0.03600	0.55300
330.68	0.16100	0.03400	0.53700	0.17500	0.03200	0.52900
330.62	0.17000	0.02600	0.53400	0.18400	0.02400	0.52700
330.52	0.19600	0.02500	0.52000	0.21400	0.02300	0.51400
330.44	0.21700	0.02000	0.51500	0.23800	0.01700	0.50500
330.35	0.24200	0.01600	0.49100	0.26300	0.01500	0.48900
330.27	0.25800	0.01400	0.49400	0.28200	0.01200	0.48500
330.14	0.28400	0.08000	0.48400	0.31000	0.00700	0.47300
330.08	0.30800	0.00700	0.47300	0.32700	0.00600	0.46400
329.96	0.32700	0.00600	0.46300	0.35400	0.00400	0.45100
332.02	0.03800	0.02800	0.26100	0.03900	0.02200	0.51600
331.02	0.04200	0.02000	0.51200	0.04300	0.02200	0.56600
330.96	0.04500	0.02200	0.56500	0.04700	0.02300	0.57800
330.94	0.04900	0.02400	0.57500	0.05200	0.02600	0.57900
330.93	0.05300	0.02400	0.58000	0.05600	0.02400	0.57900
330.92	0.05800	0.02400	0.58000	0.06100	0.02200	0.57800
330.91	0.06500	0.02200	0.575000.06900	0.02200	0.57500
330.89	0.07000	0.02600	0.57100	0.07400	0.02600	0.57200
330.85	0.08500	0.02300	0.56500	0.09100	0.02300	0.56600
330.85	0.09200	0.02400	0.56400	0.09900	0.02400	0.56200
330.84	0.09400	0.02300	0.561000.10100	0.02200	0.56100
330.82	0.09900	0.02200	0.56400	0.10800	0.02200	0.56300
330.81	0.10900	0.02000	0.56300	0.11900	0.02000	0.55500
330.78	0.12000	0.02100	0.54700	0.12900	0.02100	0.54800
330.62	0.17200	0.01800	0.51200	0.18600	0.01700	0.52200
