$$$Vapor-Liquid Equilibrium Data Set 7565
No.	Formula	Molar Mass	CAS Registry Number	Name
1	C3H6O	58.080	67-64-1	Acetone
2	CHCl3	119.377	67-66-3	Chloroform
3	CH4O	32.042	67-56-1	Methanol
4	C2H6O	46.069	64-17-5	Ethanol
Pressure	101.33	kPa
T [K]	x1 [mol/mol]	x2 [mol/mol]	x3 [mol/mol]	y1 [mol/mol]	y2 [mol/mol]	y3 [mol/mol]
333.31	0.20000	0.51200	0.12800	0.15100	0.55400	0.18300
337.05	0.20000	0.25600	0.06400	0.27700	0.39800	0.09000
339.76	0.20000	0.12800	0.03200	0.33900	0.20100	0.03400
334.02	0.40000	0.38400	0.09600	0.40600	0.35700	0.14500
334.95	0.40000	0.28800	0.07200	0.45300	0.28400	0.09300
335.86	0.40000	0.19200	0.04800	0.51100	0.19000	0.05800
336.28	0.40000	0.09600	0.02400	0.57500	0.09800	0.02500
333.00	0.60000	0.25600	0.06400	0.65000	0.19200	0.09300
333.27	0.60000	0.19200	0.04800	0.67400	0.14700	0.06200
333.27	0.60000	0.12800	0.03200	0.70300	0.09700	0.03700
334.02	0.60000	0.06400	0.01600	0.72600	0.05000	0.01700
331.81	0.80000	0.12800	0.03200	0.85200	0.07800	0.04100
331.62	0.80000	0.09600	0.02400	0.85700	0.05600	0.03000
331.61	0.80000	0.06400	0.01600	0.86100	0.03700	0.01800
331.46	0.80000	0.03200	0.00800	0.86900	0.01700	0.00900
332.51	0.20000	0.38400	0.25600	0.17300	0.43700	0.30000
335.38	0.20000	0.28800	0.19200	0.22500	0.36600	0.21400
338.30	0.20000	0.19200	0.12800	0.26800	0.25600	0.14300
340.97	0.20000	0.09600	0.06400	0.34300	0.14700	0.07300
334.07	0.40000	0.28800	0.19200	0.41200	0.27200	0.27300
334.52	0.40000	0.21600	0.14400	0.46600	0.21100	0.16800
336.08	0.40000	0.14400	0.09600	0.47400	0.15900	0.10300
337.19	0.40000	0.07200	0.04800	0.57600	0.05100	0.07400
332.96	0.60000	0.19200	0.12800	0.64300	0.14300	0.15900
333.26	0.60000	0.14400	0.09600	0.66830	0.11030	0.11130
333.30	0.60000	0.09600	0.06400	0.70200	0.07650	0.06950
333.64	0.60000	0.04800	0.03200	0.73100	0.03550	0.03350
331.00	0.80000	0.09600	0.06400	0.83500	0.05800	0.07900
331.15	0.80000	0.07200	0.04800	0.84600	0.04300	0.05000
331.96	0.80000	0.04800	0.03200	0.85000	0.02900	0.03800
331.76	0.80000	0.02400	0.01600	0.86300	0.01300	0.01800
333.42	0.20000	0.25600	0.38400	0.21100	0.31700	0.38800
336.19	0.20000	0.19200	0.28800	0.25300	0.25700	0.30400
338.00	0.20000	0.12800	0.19200	0.31200	0.18400	0.20600
340.98	0.20000	0.06400	0.09600	0.36300	0.10000	0.10900
333.15	0.40000	0.19200	0.28800	0.43800	0.18300	0.31200
334.24	0.40000	0.14400	0.21600	0.49400	0.13900	0.22700
335.46	0.40000	0.09600	0.14400	0.53700	0.09500	0.15400
336.34	0.40000	0.04800	0.072000.58500	0.04980	0.07200
331.66	0.60000	0.12800	0.19200	0.64800	0.09000	0.21500
332.34	0.60000	0.09600	0.14400	0.67400	0.07100	0.15900
332.63	0.60000	0.06400	0.09600	0.70400	0.04600	0.10300
333.50	0.60000	0.03200	0.04800	0.72800	0.02440	0.05020
330.30	0.80000	0.06400	0.09600	0.82080	0.03770	0.11530
330.60	0.80000	0.04800	0.07200	0.83960	0.02830	0.08030
331.00	0.80000	0.03200	0.04800	0.85270	0.01860	0.05400
331.10	0.80000	0.01600	0.02400	0.86100	0.00890	0.02600
334.02	0.20000	0.12800	0.51200	0.24700	0.18400	0.48300
336.17	0.20000	0.09600	0.38400	0.28400	0.04100	0.38800
338.36	0.20000	0.06400	0.25600	0.33400	0.09800	0.26700
340.71	0.20000	0.03200	0.12800	0.38200	0.05200	0.14300
332.29	0.40000	0.09600	0.38400	0.48700	0.09600	0.35500
333.70	0.40000	0.07200	0.28800	0.51800	0.07500	0.27800
336.18	0.40000	0.02400	0.09600	0.59300	0.02700	0.09400
330.83	0.60000	0.06400	0.25600	0.66700	0.04600	0.23900
331.65	0.60000	0.04800	0.19200	0.68820	0.03620	0.18720
332.40	0.60000	0.03200	0.12800	0.71200	0.02600	0.12400
333.17	0.60000	0.01600	0.06400	0.73900	0.01300	0.06100
329.80	0.80000	0.03200	0.12800	0.82900	0.01850	0.12850
330.19	0.80000	0.02400	0.09600	0.84200	0.01400	0.09500
331.06	0.80000	0.00800	0.03200	0.86410	0.00550	0.03190
Source
Pavlova A.A.; Obukhova L.Yu.; Nikolaev E.S.; Mitropolskaya V.A.; Mozzhukhin A.S.: Experimentelle Uhtersuchung und matematische Modelierung des Dampf-Flüssig-Gleichgewichtes im System Aceton-Chloroform-Methanol-Ethanol. Osnovnoi Organ.Sintez.Neftekhim. 4 (1975) 115-119
Source
